year,title,test,budget_2013,domgross_2013,intgross_2013,rated,metascore,imdb_rating,genre
2013,Iron Man 3,Fail,20,40.8992272,121.2692272,PG-13,62,7.4,Action
2013,Jack the Giant Slayer,Fail,19.5,6.5187603,19.7387603,PG-13,51,6.3,Adventure
2013,Kick-Ass 2,Pass,2.8,2.8795985,6.0839197,R,41,6.8,Action
2013,Last Vegas,Fail,2.8,6.3914167,11.2914167,PG-13,48,6.7,Comedy
2013,Machete Kills,Pass,0.2,0.8008161,0.9408161,R,41,5.8,Action
2013,Mama,Pass,1.5,7.162818,14.8041253,PG-13,57,6.3,Horror
2013,Man of Steel,Pass,22.5,29.1045518,68.7999518,PG-13,55,7.4,Action
2013,Nebraska,Pass,1.2,1.7482517,1.7482517,R,86,7.9,Adventure
2013,Now You See Me,Fail,7.5,11.7723989,35.1723989,PG-13,50,7.3,Crime
2013,Oblivion,Fail,12,8.9107235,28.7537983,PG-13,54,7,Action
2013,Olympus Has Fallen,Fail,7,9.8927592,15.0562164,R,41,6.5,Action
2013,Oz the Great and Powerful,Pass,20,23.4770996,48.9570996,PG,44,6.4,Adventure
2013,Pacific Rim,Fail,19,10.1802906,41.1002906,PG-13,64,7.1,Action
2013,Parker,Pass,3.5,1.7616641,4.6346651,R,43,6.2,Action
2013,Peeples,Fail,1.5,0.9177065,0.9177065,PG-13,52,5,Comedy
2013,Percy Jackson: Sea of Monsters,Pass,9,6.8559554,20.0859554,PG,39,6,Adventure
2013,Prisoners,Pass,4.6,6.1002302,11.3402302,R,74,8.1,Crime
2013,R.I.P.D.,Fail,13,3.3618855,7.9019947,PG-13,25,5.6,Action
2013,Riddick,Fail,3.8,4.2025135,9.2425135,R,49,6.4,Action
2013,Runner Runner,Fail,3,1.9316646,6.2616646,R,36,5.6,Crime
2013,Rush,Fail,3.8,2.6947624,4.3047624,R,75,8.3,Action
2013,Safe Haven,Pass,2.8,7.139912,9.3943623,PG-13,34,6.7,Drama
2013,Saving Mr. Banks,Pass,3.5,8.2834332,10.0734332,PG-13,65,7.7,Biography
2013,Side Effects,Pass,3,3.2172757,6.0288363,R,75,7.1,Crime
2013,Star Trek Into Darkness,Fail,19,22.8778661,46.6978661,PG-13,72,7.9,Action
2013,The Big Wedding,Pass,3.25,2.1819348,3.5770721,R,28,5.6,Comedy
2013,The Book Thief,Pass,1.9,2.1345525,6.2045525,PG-13,53,7.7,Drama
2013,The Call,Pass,1.3,5.1872378,5.8938768,R,51,6.7,Crime
2013,The Conjuring,Pass,2,13.7400141,31.8000141,R,68,7.6,Horror
2013,The Counselor,Pass,2.5,1.6973715,7.0373715,R,48,5.5,Crime
2013,The Croods,Fail,13.5,18.7168425,57.3068425,PG,55,7.3,Animation
2013,The Family,Fail,3,3.6918811,5.1078541,R,42,6.4,Comedy
2013,The Fifth Estate,Fail,2.6,0.3254172,0.6154172,R,49,6.1,Biography
2013,The Great Gatsby,Fail,19,14.4840419,35.1040419,PG-13,55,7.4,Drama
2013,The Heat,Pass,4.3,15.9581587,23.0781587,R,60,6.7,Action
2013,The Hobbit: The Desolation of Smaug,Fail,25,25.7397516,93.7397516,PG-13,66,8.2,Adventure
2013,The Host,Fail,5,2.6623701,5.8188384,PG-13,35,5.9,Adventure
2013,The Hunger Games: Catching Fire,Pass,13,42.408826,85.708826,PG-13,75,7.9,Action
2013,The Incredible Burt Wonderstone,Fail,3.2,2.2537881,2.4255957,PG-13,44,5.9,Comedy
2013,The Internship,Fail,5.8,4.4672764,9.3672764,PG-13,42,6.4,Comedy
2013,The Last Exorcism Part II,Pass,0.4,1.5179303,1.8541236,PG-13,35,3.9,Drama
2013,The Lone Ranger,Fail,27.5,8.928991,25.998991,PG-13,37,6.6,Action
2013,The Mortal Instruments: City of Bones,Pass,6,3.1165421,7.5965567,PG-13,33,6,Action
2013,The Purge,Fail,0.3,6.4473115,9.1100541,R,41,5.5,Horror
2013,The Smurfs 2,Pass,11,7.1017784,34.8545841,PG,34,5.4,Animation
2013,The To Do List,Pass,0.15,0.3491669,0.3491669,R,61,5.8,Comedy
2013,The Way Way Back,Pass,0.5,2.150269,2.6161443,PG-13,68,7.5,Comedy
2013,The Wolf of Wall Street,Fail,10,11.5702857,36.5702857,R,75,8.5,Biography
2013,The Wolverine,Pass,11.5,13.2556852,41.6456852,PG-13,60,6.8,Action
2013,This Is the End,Fail,3.2,10.1470202,12.6294264,R,67,6.9,Comedy
2013,Thor: The Dark World,Fail,17,20.467479,63.167479,PG-13,54,7.3,Action
2013,Trance,Fail,1.6,0.2322593,2.2594052,R,61,7,Crime
2013,Turbo,Fail,13.5,8.302813,28.382813,PG,58,6.5,Animation
2013,Warm Bodies,Fail,3,6.6380662,11.664361,PG-13,59,7,Comedy
2013,White House Down,Fail,15,7.3103784,20.5440387,PG-13,52,6.4,Action
2013,World War Z,Fail,19,20.2359711,53.9559711,PG-13,63,7.1,Action
2012,Abraham Lincoln: Vampire Hunter,Fail,6.8488103,3.8068365,11.6804318,R,42,6,Action
2012,Act of Valor,Fail,1.2175663,7.1037735,8.3704673,R,40,6.5,Action
2012,Amour,Fail,0.9841994,0.6837603,2.6295088,PG-13,94,7.8,Drama
2012,Anna Karenina,Fail,4.971729,1.300398,7.1771007000000004,R,63,6.6,Drama
2012,Argo,Pass,4.5151416,13.8016721,22.4540219,R,86,7.8,Biography
2012,Battleship,Fail,21.205946,6.6190353,30.8594933,PG-13,41,5.9,Action
2012,Beasts of the Southern Wild,Fail,0.1826349,1.2983057,2.138864,PG-13,86,7.3,Drama
2012,Blue Like Jazz,Pass,0.1217566,0.0603728,0.0603728,PG-13,48,6,Comedy
2012,Brave,Pass,18.7708135,24.0755653,56.2725176,PG,69,7.2,Animation
2012,Bullet to the Head,Fail,5.5805121,0.9628746,1.3760036,R,48,5.8,Action
2012,Chronicle,Fail,1.2175663,6.5520463,12.8935373,PG-13,69,7.1,Drama
2012,Cloud Atlas,Pass,10.3493134,2.7505098,12.7863295,R,55,7.6,Adventure
2012,Contraband,Pass,2.5365964,6.7501874,9.984739,R,51,6.5,Action
2012,Django Unchained,Fail,10.1463857,16.5188672,43.1600549,R,81,8.5,Adventure
2012,Flight,Fail,3.1453796,9.5145068,16.4140491,R,76,7.3,Drama
2012,Frankenweenie,Fail,3.9570904,3.5804351,8.2338719,PG,74,7,Animation
2012,Hotel Transylvania,Pass,8.6244278,15.0484138,36.4480509,PG,47,7.1,Animation
2012,Jack Reacher,Fail,6.0878314,8.1242857,22.0552732,PG-13,50,7,Action
2012,John Carter,Pass,27.9025606,7.4128153,28.6917566,PG-13,51,6.6,Action
2012,Killing Them Softly,Fail,1.5219578,1.5164322,3.7783896,R,64,6.2,Crime
2012,Life of Pi,Fail,12.1756628,12.6816653,61.688708,PG,79,8.1,Adventure
2012,Lincoln,Pass,6.5951507,18.4875236,27.6997302,PG-13,86,7.5,Biography
2012,Mirror Mirror,Fail,8.6244278,6.5885725,17.1080229,PG,46,5.6,Adventure
2012,Moonrise Kingdom,Pass,1.6234217,4.6178703,6.4949517,PG-13,84,7.8,Comedy
2012,Much Ado About Nothing,Fail,0.8117109,2.2879428,2.2879428,PG-13,78,7.4,Comedy
2012,One for the Money,Pass,4.261482,2.6801198,3.6727096,PG-13,22,5.3,Action
2012,Paranormal Activity 4,Pass,0.5073193,5.4689359,14.4884139,R,40,4.5,Horror
2012,ParaNorman,Fail,6.0878314,5.6822855,10.9742304,PG,72,7,Animation
2012,Parental Guidance,Pass,2.5365964,7.8398378,12.1927729,PG,36,6.1,Comedy
2012,People Like Us,Pass,1.6234217,1.2613776,1.2613776,PG-13,49,7.1,Drama
2012,Pitch Perfect,Pass,1.7248856,6.5952616,11.701946,PG-13,66,7.3,Comedy
2012,Premium Rush,Pass,3.551235,2.0572249,3.1852752,PG-13,66,6.5,Action
2012,Red Dawn,Fail,6.5951507,4.546269,4.8869204,PG-13,31,5.5,Action
2012,Red Tails,Fail,5.8849037,5.0606496,5.1102777,PG-13,46,5.9,Action
2012,Rise of the Guardians,Fail,14.7122592,10.4926572,31.1393491,PG,57,7.3,Animation
2012,Rock of Ages,Pass,7.10247,3.908247,5.0852278,PG-13,47,5.9,Comedy
2012,Safe,Fail,3.3483073,1.7393015,4.2102643,R,55,6.5,Action
2012,Safety Not Guaranteed,Pass,0.0760979,0.4069672,0.4477791,R,72,7.1,Comedy
2012,Seven Psychopaths,Fail,1.3697621,1.524398,2.3836212,R,66,7.2,Comedy
2012,Silent Hill: Revelation 3D,Pass,2.0292771,1.7786836,4.8646439,R,15,5.1,Horror
2012,Silver Linings Playbook,Pass,2.130741,13.4026609,23.0644998,R,81,7.9,Comedy
2012,Sinister,Fail,0.3043916,4.8790826,8.9012016,R,53,6.8,Horror
2012,Skyfall,Fail,20.2927713,30.8815675,112.4923772,PG-13,81,7.8,Action
2012,Snow White and the Huntsman,Pass,17.2488556,15.7407735,40.6779965,PG-13,57,6.2,Adventure
2012,Sparkle,Pass,1.0146386,2.4754613,2.5021315,PG-13,54,5.5,Drama
2012,Spring Breakers,Pass,0.5073193,1.4331045,3.1118489,R,63,5.4,Crime
2012,Step Up Revolution,Pass,3.3483073,3.558812,16.7975738,PG-13,43,6.5,Drama
2012,Ted,Fail,5.0731928,22.1866693,55.7487654,R,62,7.1,Comedy
2012,The Amazing Spider-Man,Fail,22.3220484,26.5866416,76.8984693,PG-13,66,7.2,Action
2012,The Avengers,Fail,6.0878314,2.3727745,4.9296637,PG-13,69,8.2,Action
2012,The Dark Knight Rises,Fail,27.9025606,45.4699213,109.514399,PG-13,78,8.6,Action
2012,The Devil Inside,Pass,0.1014639,5.4041622,10.3248087,R,18,4.1,Horror
2012,The Dictator,Fail,6.5951507,6.0523416,18.2005391,R,58,6.4,Comedy
2012,The Expendables 2,Pass,10.1463857,8.6272883,31.6546185,R,51,6.8,Action
2012,The Hobbit: An Unexpected Journey,Fail,25.3659641,30.7439106,102.9557373,PG-13,58,8.1,Adventure
2012,The Hunger Games,Pass,8.1171085,41.3983383,69.4530947,PG-13,67,7.3,Adventure
2012,The Impossible,Fail,4.0585543,1.9298306,17.2073169,PG-13,73,7.6,Drama
2012,The Man with the Iron Fists,Fail,1.5219578,1.5862951,2.2306925,R,51,5.4,Action
2012,The Master,Fail,3.8048946,1.6484994,2.5484413,R,86,7.1,Drama
2012,The Place Beyond the Pines,Fail,1.5219578,2.1716836,4.7699629,R,68,7.4,Crime
2012,The Twilight Saga: Breaking Dawn - Part 2,Fail,13.8193773,29.6603952,84.4848985,PG-13,52,5.6,Adventure
2012,The Vow,Pass,0.8866236,12.6844056,20.0511006,PG-13,43,6.8,Drama
2012,The Watch,Fail,5.5805121,3.4855879,6.8338951,R,36,5.7,Comedy
2012,The Woman in Black,Fail,1.5219578,5.5128651,13.0843627,PG-13,62,6.5,Drama
2012,The Words,Fail,0.6087831,1.1663106,1.2310182,PG-13,37,7.1,Drama
2012,Think Like a Man,Pass,1.2175663,9.2887325,9.7562697,PG-13,51,6.5,Comedy
2012,Total Recall,Fail,12.6829821,5.9739858,20.1523449,PG-13,43,6.3,Action
2012,Underworld: Awakening,Pass,7.10247,6.323333,16.2727662,R,39,6.4,Action
2012,Wanderlust,Pass,3.2975753,1.7541229,2.4513601,R,53,5.6,Comedy
2012,Wrath of the Titans,Fail,15.2195785,8.4894893,30.6390492,PG-13,37,5.8,Action
2012,Wreck-It Ralph,Pass,16.7415363,19.2185407,48.0342759,PG,72,7.8,Animation
2012,Zero Dark Thirty,Pass,5.3268525,9.712193,13.973675,R,95,7.4,Drama
2011,30 Minutes or Less,Fail,2.8999342,3.8376408,4.242885,R,49,6.2,Action
2011,50/50,Fail,0.8285526,3.6265871,4.2810004,R,72,7.8,Comedy
2011,A Dangerous Method,Fail,2.0713816,0.5905595,1.5336023,R,76,6.5,Biography
2011,Another Earth,Pass,0.0181246,0.1368348,0.1844766,PG-13,66,7,Drama
2011,Apollo 18,Fail,0.5178454,1.8318189,2.7464261,PG-13,24,5.2,Horror
2011,Arthur Christmas,Fail,8.8033717,4.8120751,15.2893489,PG,69,7.1,Animation
2011,Attack the Block,Pass,1.346398,0.1060729,0.5599381,R,75,6.6,Action
2011,Bad Teacher,Pass,1.9678125,10.3872387,22.4136189,R,47,5.7,Comedy
2011,Beastly,Fail,1.7606743,2.8860115,3.9385487,PG-13,40,5.5,Drama
2011,Blackthorn,Fail,0.4660609,0.0207716,0.129437,R,61,6.6,Action
2011,Bridesmaids,Pass,3.3659951,17.5142277,29.9587165,R,75,6.9,Comedy
2011,Captain America: The First Avenger,Fail,14.499671,18.2959443,38.3795703,PG-13,66,6.8,Action
2011,Cars 2,Fail,20.7138157,19.8283907,58.0147769,G,57,6.4,Animation
2011,Circumstance,Pass,0.0932122,0.0470329,0.0470329,R,65,6,Drama
2011,Colombiana,Fail,4.1427631,3.7974487,7.425704,PG-13,45,6.4,Action
2011,Conan the Barbarian,Fail,2.0713816,3.962976,8.1937729,R,36,5.2,Action
2011,Contagion,Pass,6.2141447,7.8358394,14.2460919,PG-13,70,6.7,Drama
2011,Coriolanus,Fail,1.0356908,0.0776396,0.1087104,R,79,6.1,Drama
2011,Diary of a Wimpy Kid: Rodrick Rules,Fail,1.8642434,5.4579387,7.6325433,PG,51,6.6,Comedy
2011,Dolphin Tale,Fail,3.8320559,7.4866751,9.9497492,PG,64,6.9,Drama
2011,Dream House,Pass,5.1784539,2.2062637,4.1357557,PG-13,35,5.9,Drama
2011,Drive,Fail,1.5535362,3.6312033,8.0840663,R,78,7.9,Crime
2011,Fast Five,Pass,12.9461348,21.7326947,65.2320815,PG-13,67,7.3,Action
2011,Final Destination 5,Fail,4.1427631,4.4107629,16.3522777,R,50,5.9,Horror
2011,Footloose,Pass,2.4856579,5.3651623,6.5676025,PG-13,58,5.8,Comedy
2011,Fright Night,Fail,3.1070724,1.8951742,4.1966863,R,64,6.4,Comedy
2011,Green Lantern,Fail,20.7138157,12.076276,23.9452924,PG-13,39,5.7,Action
2011,Hall Pass,Fail,3.7284868,4.6668987,8.6680344,R,45,5.9,Comedy
2011,Hanna,Pass,3.1070724,4.1695999,6.7675862,PG-13,65,6.8,Action
2011,Harry Potter and the Deathly Hallows: Part 2,Fail,12.9461348,39.4609809,137.5512553,PG-13,87,8.1,Adventure
2011,Haywire,Fail,2.3820888,1.9618465,2.2967676,R,67,5.8,Action
2011,Higher Ground,Pass,0.1864243,0.0871074,0.0889847,R,74,6.3,Drama
2011,Hop,Fail,6.524852,11.1942955,19.1524428,PG,41,5.5,Animation
2011,Horrible Bosses,Pass,3.6249178,12.1733603,22.2195609,R,57,6.9,Comedy
2011,Hugo,Fail,18.6424342,7.6500789,19.1637196,PG,83,7.6,Adventure
2011,I Am Number Four,Fail,5.1784539,5.7067015,15.1193038,PG-13,36,6.1,Drama
2011,Immortals,Fail,7.7676809,8.6484341,21.9113265,R,46,6.1,Action
2011,In Time,Fail,3.6249178,3.8894261,17.6134406,PG-13,53,6.6,Action
2011,Johnny English Reborn,Fail,4.6606085,0.8602417,17.041221,PG,46,6.3,Adventure
2011,Jumping the Broom,Pass,0.7249836,3.8626496,3.9520511,PG-13,56,5.5,Comedy
2011,Just Go with It,Fail,8.2855263,10.6705263,22.2647578,PG-13,33,6.4,Comedy
2011,Killer Elite,Fail,7.2498355,2.6021717,5.9839216,R,44,6.5,Action
2011,Kung Fu Panda 2,Pass,15.5353618,17.1146932,68.8566122,PG,67,7.4,Animation
2011,Like Crazy,Pass,0.0258923,0.3516575,0.3864669,PG-13,71,6.7,Drama
2011,Limitless,Fail,2.7963651,8.207793,17.579759,PG-13,59,7.4,Mystery
2011,Margaret,Pass,1.4499671,0.0048869,0.0048869,R,61,6.4,Drama
2011,Margin Call,Fail,0.3521349,0.554466,1.8510079,R,76,7.1,Drama
2011,Mars Needs Moms,Fail,15.5353618,2.2156282,4.096132,PG,49,5.4,Animation
2011,Martha Marcy May Marlene,Pass,0.1035691,0.3087434,0.3657064,R,76,7,Drama
2011,Melancholia,Pass,0.9735493,0.3139021,1.868808,R,80,7.1,Drama
2011,Midnight in Paris,Pass,3.1070724,5.8844493,16.034219,PG-13,81,7.7,Comedy
2011,Mission: Impossible - Ghost Protocol,Fail,15.0175164,21.6871479,71.9508092,PG-13,73,7.4,Action
2011,Moneyball,Fail,5.1784539,7.8303911,11.5142275,PG-13,87,7.6,Biography
2011,No Strings Attached,Pass,2.589227,7.318421,15.4554145,R,50,6.2,Comedy
2011,October Baby,Pass,0.1035691,0.5547001,0.5547001,PG-13,32,6.7,Drama
2011,Our Idiot Brother,Pass,0.5178454,2.5700491,2.6784257,R,60,6.5,Comedy
2011,Paranormal Activity 3,Pass,0.5178454,10.7741677,21.4429259,R,59,5.9,Horror
2011,Paul,Pass,4.1427631,3.8748242,10.375531,R,57,7.1,Adventure
2011,Pirates of the Caribbean: On Stranger Tides,Fail,25.8922697,24.9667634,108.091306,PG-13,45,6.7,Action
2011,Priest,Fail,6.2141447,3.0176535,8.7157549,PG-13,41,5.7,Action
2011,Puss in Boots,Fail,13.4639802,15.4587729,57.4795417,PG,65,6.7,Animation
2011,Rango,Fail,13.9818256,12.7656741,25.4266825,PG,75,7.3,Animation
2011,Real Steel,Fail,11.3925987,8.8513562,30.3703179,PG-13,56,7.1,Action
2011,Red Riding Hood,Pass,4.3499013,3.9006354,9.3523336,PG-13,29,5.4,Fantasy
2011,Red State,Pass,0.4142763,0.1103455,0.1103455,R,50,6.2,Action
2011,Restless,Pass,0.8285526,0.0169597,0.2918985,PG-13,47,6.8,Drama
2011,Rio,Fail,9.3212171,14.8745713,50.4919774,G,63,7,Animation
2011,Rise of the Planet of the Apes,Fail,9.6319243,18.3068895,50.0093845,PG-13,68,7.6,Action
2011,Shame,Fail,0.673199,0.4145138,1.1166495,NC-17,72,7.3,Drama
2011,Snow Flower and the Secret Fan,Pass,0.6214145,0.1396324,1.1753231,PG-13,42,6,Drama
2011,Soul Surfer,Pass,1.8642434,4.5418587,4.8841781,PG,53,7.1,Biography
2011,Source Code,Fail,3.3142105,5.6664949,14.5440503,PG-13,74,7.5,Mystery
2011,Straw Dogs,Pass,2.589227,1.0692928,1.1655479,R,45,5.8,Thriller
2011,Sucker Punch,Pass,7.7676809,3.7691379,9.2961937,PG-13,33,6.1,Action
2011,Super 8,Pass,5.1784539,13.1537058,26.9379017,PG-13,72,7.1,Mystery
2011,Take Shelter,Pass,0.4919531,0.1790661,0.3240628,R,85,7.5,Drama
2011,The Adjustment Bureau,Fail,5.1991677,6.4726164,13.2354553,PG-13,60,7.1,Fantasy
2011,The Adventures of Tintin,Fail,13.4639802,8.0361144,38.7342089,PG,68,7.4,Animation
2011,The Artist,Fail,1.6571053,4.6261299,13.2834295,PG-13,89,8,Comedy
2011,The Best Exotic Marigold Hotel,Pass,1.0356908,4.8039108,13.9537943,PG-13,62,7.3,Comedy
2011,The Darkest Hour,Pass,3.6042039,2.2208829,6.5074228,PG-13,16,4.9,Action
2011,The Divide,Pass,0.3107072,0.0018642,0.0018642,R,28,5.8,Drama
2011,The Future,Pass,0.1035691,0.0588958,0.0588958,R,67,6.1,Comedy
2011,The Girl with the Dragon Tattoo,Fail,9.3212171,10.6174662,24.1492267,R,71,7.9,Crime
2011,The Green Hornet,Fail,11.3925987,10.2305579,23.6120048,PG-13,39,5.9,Action
2011,The Guard,Fail,0.6214145,0.5551069,1.6513705,R,78,7.3,Comedy
2011,The Help,Pass,2.589227,17.5762513,22.0726425,PG-13,62,8.1,Drama
2011,The Iron Lady,Pass,1.4499671,3.1028712,11.9717677,PG-13,54,6.4,Biography
2011,The Lincoln Lawyer,Fail,4.1427631,6.0079594,9.0255363,R,63,7.3,Crime
2011,The Mechanic,Fail,4.4016858,3.0160867,7.9072292,R,49,6.5,Action
2011,The Muppets,Fail,4.6606085,9.1789051,16.6717137,PG,75,7.2,Comedy
2011,The Rite,Fail,3.8320559,3.4227129,9.9475649,PG-13,38,6,Drama
2011,The Roommate,Pass,1.6571053,3.8631377,4.1942847,PG-13,23,4.8,Drama
2011,The Smurfs,Pass,11.3925987,14.7704169,58.3162839,PG,30,5.5,Animation
2011,The Three Musketeers,Fail,9.3212171,2.1105217,14.4870266,PG-13,35,5.8,Action
2011,The Tree of Life,Fail,3.6249178,1.3780555,6.4529403,PG-13,85,6.7,Drama
2011,The Twilight Saga: Breaking Dawn - Part 1,Pass,13.2050575,29.1326492,73.5276926,PG-13,45,4.9,Adventure
2011,Thor,Pass,15.5353618,18.7491749,46.5363438,PG-13,57,7,Action
2011,Tinker Tailor Soldier Spy,Fail,2.1749507,2.5011304,8.4359926,R,85,7.1,Drama
2011,Tower Heist,Fail,8.8033717,8.0832113,15.894783,PG-13,59,6.2,Action
2011,Transformers: Dark of the Moon,Pass,20.1959703,36.4967639,116.390317,PG-13,42,6.4,Action
2011,War Horse,Fail,7.2498355,8.2734459,16.2412399,PG-13,72,7.3,Drama
2011,Warrior,Fail,2.589227,1.4144548,2.5079651,PG-13,71,8.3,Drama
2011,We Bought a Zoo,Fail,5.1784539,7.832365,12.3169061,PG,58,7.2,Drama
2011,Winnie the Pooh,Fail,3.1070724,2.7645535,5.1935343,G,74,7.3,Animation
2011,X-Men: First Class,Pass,16.5710526,15.1633733,36.8093107,PG-13,65,7.8,Action
2011,Young Adult,Pass,1.2428289,1.6893744,2.3562334,R,71,6.3,Comedy
2010,127 Hours,Fail,1.9228173,1.9586277,6.4879307,R,82,7.7,Adventure
2010,Alice in Wonderland,Pass,21.3646368,35.6993585,109.4287202,PG,53,6.5,Adventure
2010,Animal Kingdom,Fail,0.4486574,0.1115276,0.8629906,R,83,7.3,Crime
2010,Another Year,Pass,0.8545855,0.3424437,1.9768384,PG-13,80,7.3,Comedy
2010,Beginners,Fail,0.3418342,0.6186017,1.2353318,R,81,7.2,Comedy
2010,Biutiful,Fail,3.7388114,0.5449304,2.6813941,R,58,7.5,Drama
2010,Black Swan,Pass,1.3887014,11.4252393,35.3869648,R,79,8.1,Drama
2010,Blue Valentine,Fail,0.1068232,1.0402326,1.7696585,NC-17,81,7.4,Drama
2010,Burlesque,Pass,5.8752751,4.2131764,9.5774887,PG-13,47,6.3,Drama
2010,Casino Jack,Fail,1.3352898,0.2179053,0.2222851,R,51,6.2,Biography
2010,Centurion,Fail,1.6023478,0.0132001,0.7075508,R,62,6.4,Action
2010,Charlie St. Cloud,Fail,4.7002201,3.3335524,5.1785833,PG-13,37,6.4,Drama
2010,Clash of the Titans,Fail,13.352898,17.435134,52.6867848,PG-13,39,5.8,Action
2010,Conviction,Pass,1.3352898,0.7261515,1.0824983,R,61,7.2,Biography
2010,Cop Out,Fail,3.9524578,4.7937418,5.9724746,R,31,5.7,Action
2010,Country Strong,Pass,1.6023478,2.1598495,2.1953741,PG-13,45,6.3,Drama
2010,Cyrus,Fail,0.7477623,0.7978555,1.0724926,R,74,6.3,Drama
2010,Date Night,Pass,5.8752751,10.5446665,16.265863,PG-13,56,6.3,Comedy
2010,Dear John,Fail,2.6705796,8.5474402,11.8960872,PG-13,43,6.2,Drama
2010,Despicable Me,Pass,7.3707997,26.8675247,58.05787,PG,72,7.7,Animation
2010,Devil,Pass,1.0682318,3.597768,6.7676882,PG-13,44,6.3,Horror
2010,Diary of a Wimpy Kid,Pass,1.6023478,6.837071,8.2205045,PG,56,6.2,Comedy
2010,Dinner for Schmucks,Fail,7.3707997,7.8009058,9.2718787,PG-13,56,5.9,Comedy
2010,Due Date,Fail,6.943507,10.7399007,22.6186388,R,51,6.6,Comedy
2010,Dylan Dog: Dead of Night,Fail,2.1364637,0.1267498,0.6506276,PG-13,31,5.2,Comedy
2010,Easy A,Pass,0.8545855,6.2386303,8.1400037,PG-13,72,7.2,Comedy
2010,Edge of Darkness,Fail,6.409391,4.6269276,8.6749716,R,55,6.6,Crime
2010,Everything Must Go,Fail,0.5341159,0.2897185,0.2897185,R,65,6.5,Comedy
2010,Fair Game,Pass,5.3411592,1.2281992,2.7878177,PG-13,69,6.8,Biography
2010,Faster,Fail,1.2818782,2.4825729,3.8091703,R,44,6.5,Action
2010,For Colored Girls,Pass,2.2432869,4.0304065,4.0611902,R,50,5.8,Drama
2010,Frozen,Fail,16.0234776,41.9868647,107.3092418,R,43,6.2,Drama
2010,Going the Distance,Pass,3.4183419,1.9019119,4.2718768,R,51,6.4,Comedy
2010,Green Zone,Fail,10.6823184,3.7919386,10.4177195,R,63,6.9,Action
2010,Grown Ups,Pass,8.0117388,17.3054825,29.0797736,PG-13,30,5.9,Comedy
2010,Harry Potter and the Deathly Hallows: Part 1,Pass,13.352898,31.6178791,102.1656625,PG-13,65,7.7,Adventure
2010,Hot Tub Time Machine,Fail,3.8456346,5.3699864,6.752289,R,63,6.5,Adventure
2010,How to Train Your Dragon,Pass,17.6258254,23.2427199,52.863695,PG,74,8.2,Animation
2010,Inception,Fail,17.0917095,31.2539208,88.9393184,PG-13,74,8.8,Action
2010,Insidious,Pass,0.1602348,5.7694294,10.668526,PG-13,52,6.8,Horror
2010,Iron Man 2,Pass,18.1599413,33.3751233,66.6108069,PG-13,57,7.1,Action
