country,year,series,value
Armenia,1995,Tourism expenditure (millions of US dollars),14
Armenia,2005,Tourism expenditure (millions of US dollars),243
Armenia,2010,Tourism expenditure (millions of US dollars),694
Armenia,2016,Tourism expenditure (millions of US dollars),988
Armenia,2017,Tourism expenditure (millions of US dollars),1140
Armenia,2018,Tourism expenditure (millions of US dollars),1237
Aruba,1995,Tourist/visitor arrivals (thousands),619
Aruba,2005,Tourist/visitor arrivals (thousands),733
Aruba,2010,Tourist/visitor arrivals (thousands),824
Aruba,2016,Tourist/visitor arrivals (thousands),1102
Aruba,2017,Tourist/visitor arrivals (thousands),1070.5
Aruba,2018,Tourist/visitor arrivals (thousands),1082
Aruba,1995,Tourism expenditure (millions of US dollars),554
Aruba,2005,Tourism expenditure (millions of US dollars),1097
Aruba,2010,Tourism expenditure (millions of US dollars),1254
Aruba,2016,Tourism expenditure (millions of US dollars),1764
Aruba,2017,Tourism expenditure (millions of US dollars),1857
Aruba,2018,Tourism expenditure (millions of US dollars),2024
Australia,1995,Tourist/visitor arrivals (thousands),3726
Australia,2005,Tourist/visitor arrivals (thousands),5499
Australia,2010,Tourist/visitor arrivals (thousands),5790
Australia,2016,Tourist/visitor arrivals (thousands),8269
Australia,2017,Tourist/visitor arrivals (thousands),8815
Australia,2018,Tourist/visitor arrivals (thousands),9246
Australia,1995,Tourism expenditure (millions of US dollars),10370
Australia,2005,Tourism expenditure (millions of US dollars),19719
Australia,2010,Tourism expenditure (millions of US dollars),31064
Australia,2016,Tourism expenditure (millions of US dollars),39059
Australia,2017,Tourism expenditure (millions of US dollars),43975
Australia,2018,Tourism expenditure (millions of US dollars),47327
Austria,1995,Tourist/visitor arrivals (thousands),17173
Austria,2005,Tourist/visitor arrivals (thousands),19952
Austria,2010,Tourist/visitor arrivals (thousands),22004
Austria,2016,Tourist/visitor arrivals (thousands),28121
Austria,2017,Tourist/visitor arrivals (thousands),29460
Austria,2018,Tourist/visitor arrivals (thousands),30816
Austria,1995,Tourism expenditure (millions of US dollars),13435
Austria,2005,Tourism expenditure (millions of US dollars),16243
Austria,2010,Tourism expenditure (millions of US dollars),18751
Austria,2016,Tourism expenditure (millions of US dollars),19244
Austria,2017,Tourism expenditure (millions of US dollars),20333
Austria,2018,Tourism expenditure (millions of US dollars),23233
Azerbaijan,2005,Tourist/visitor arrivals (thousands),693
Azerbaijan,2010,Tourist/visitor arrivals (thousands),1280
Azerbaijan,2016,Tourist/visitor arrivals (thousands),2044
Azerbaijan,2017,Tourist/visitor arrivals (thousands),2454
Azerbaijan,2018,Tourist/visitor arrivals (thousands),2633
Azerbaijan,1995,Tourism expenditure (millions of US dollars),87
Azerbaijan,2005,Tourism expenditure (millions of US dollars),100
Azerbaijan,2010,Tourism expenditure (millions of US dollars),792
Azerbaijan,2016,Tourism expenditure (millions of US dollars),2855
Azerbaijan,2017,Tourism expenditure (millions of US dollars),3214
Azerbaijan,2018,Tourism expenditure (millions of US dollars),2830
Bahamas,1995,Tourist/visitor arrivals (thousands),1598
Bahamas,2005,Tourist/visitor arrivals (thousands),1608
Bahamas,2010,Tourist/visitor arrivals (thousands),1370
Bahamas,2016,Tourist/visitor arrivals (thousands),1500
Bahamas,2017,Tourist/visitor arrivals (thousands),1442
Bahamas,2018,Tourist/visitor arrivals (thousands),1633
Bahamas,1995,Tourism expenditure (millions of US dollars),1356
Bahamas,2005,Tourism expenditure (millions of US dollars),2081
Bahamas,2010,Tourism expenditure (millions of US dollars),2159
Bahamas,2016,Tourism expenditure (millions of US dollars),3091
Bahamas,2017,Tourism expenditure (millions of US dollars),3017
Bahamas,2018,Tourism expenditure (millions of US dollars),3383
Bahrain,1995,Tourist/visitor arrivals (thousands),2311
Bahrain,2005,Tourist/visitor arrivals (thousands),6313
Bahrain,2010,Tourist/visitor arrivals (thousands),11952
Bahrain,2016,Tourist/visitor arrivals (thousands),10158
Bahrain,2017,Tourist/visitor arrivals (thousands),11374
Bahrain,2018,Tourist/visitor arrivals (thousands),12045
Bahrain,1995,Tourism expenditure (millions of US dollars),593
Bahrain,2005,Tourism expenditure (millions of US dollars),1603
Bahrain,2010,Tourism expenditure (millions of US dollars),2163
Bahrain,2016,Tourism expenditure (millions of US dollars),4021
Bahrain,2017,Tourism expenditure (millions of US dollars),4380
Bahrain,2018,Tourism expenditure (millions of US dollars),3834
Bangladesh,1995,Tourist/visitor arrivals (thousands),156
Bangladesh,2005,Tourist/visitor arrivals (thousands),208
Bangladesh,2010,Tourist/visitor arrivals (thousands),303
Bangladesh,2016,Tourist/visitor arrivals (thousands),830
Bangladesh,2017,Tourist/visitor arrivals (thousands),1026
Bangladesh,2005,Tourism expenditure (millions of US dollars),82
Bangladesh,2010,Tourism expenditure (millions of US dollars),103
Bangladesh,2016,Tourism expenditure (millions of US dollars),214.3
Bangladesh,2017,Tourism expenditure (millions of US dollars),348
Bangladesh,2018,Tourism expenditure (millions of US dollars),357
Barbados,1995,Tourist/visitor arrivals (thousands),442
Barbados,2005,Tourist/visitor arrivals (thousands),548
Barbados,2010,Tourist/visitor arrivals (thousands),532
Barbados,2016,Tourist/visitor arrivals (thousands),632
Barbados,2017,Tourist/visitor arrivals (thousands),664
Barbados,2018,Tourist/visitor arrivals (thousands),680
Barbados,1995,Tourism expenditure (millions of US dollars),630
Barbados,2005,Tourism expenditure (millions of US dollars),1081
Barbados,2010,Tourism expenditure (millions of US dollars),1074
Belarus,1995,Tourist/visitor arrivals (thousands),160.6
Belarus,2005,Tourist/visitor arrivals (thousands),91
Belarus,2010,Tourist/visitor arrivals (thousands),119.3
Belarus,2016,Tourist/visitor arrivals (thousands),10935.4
Belarus,2017,Tourist/visitor arrivals (thousands),11060.2
Belarus,2018,Tourist/visitor arrivals (thousands),11501.6
Belarus,1995,Tourism expenditure (millions of US dollars),28
Belarus,2005,Tourism expenditure (millions of US dollars),346
Belarus,2010,Tourism expenditure (millions of US dollars),665
Belarus,2016,Tourism expenditure (millions of US dollars),1019
Belarus,2017,Tourism expenditure (millions of US dollars),1124
Belarus,2018,Tourism expenditure (millions of US dollars),1221
Belgium,1995,Tourist/visitor arrivals (thousands),5560
Belgium,2005,Tourist/visitor arrivals (thousands),6747
Belgium,2010,Tourist/visitor arrivals (thousands),7186
Belgium,2016,Tourist/visitor arrivals (thousands),7481
Belgium,2017,Tourist/visitor arrivals (thousands),8385
Belgium,2018,Tourist/visitor arrivals (thousands),9119
Belgium,2005,Tourism expenditure (millions of US dollars),10881
Belgium,2010,Tourism expenditure (millions of US dollars),12680
Belgium,2016,Tourism expenditure (millions of US dollars),8784
Belgium,2017,Tourism expenditure (millions of US dollars),9636
Belgium,2018,Tourism expenditure (millions of US dollars),10381
Belize,1995,Tourist/visitor arrivals (thousands),131
Belize,2005,Tourist/visitor arrivals (thousands),237
Belize,2010,Tourist/visitor arrivals (thousands),242
Belize,2016,Tourist/visitor arrivals (thousands),386
Belize,2017,Tourist/visitor arrivals (thousands),427
Belize,2018,Tourist/visitor arrivals (thousands),489
Belize,1995,Tourism expenditure (millions of US dollars),78
Belize,2005,Tourism expenditure (millions of US dollars),214
Belize,2010,Tourism expenditure (millions of US dollars),264
Belize,2016,Tourism expenditure (millions of US dollars),391
Belize,2017,Tourism expenditure (millions of US dollars),427
Belize,2018,Tourism expenditure (millions of US dollars),487
Benin,1995,Tourist/visitor arrivals (thousands),138
Benin,2005,Tourist/visitor arrivals (thousands),176
Benin,2010,Tourist/visitor arrivals (thousands),199
Benin,2016,Tourist/visitor arrivals (thousands),267
Benin,2017,Tourist/visitor arrivals (thousands),281
Benin,2018,Tourist/visitor arrivals (thousands),295
Benin,2005,Tourism expenditure (millions of US dollars),107.7
Benin,2010,Tourism expenditure (millions of US dollars),149.4
Benin,2016,Tourism expenditure (millions of US dollars),129
Benin,2017,Tourism expenditure (millions of US dollars),160
Bermuda,1995,Tourist/visitor arrivals (thousands),387
Bermuda,2005,Tourist/visitor arrivals (thousands),270
Bermuda,2010,Tourist/visitor arrivals (thousands),232
Bermuda,2016,Tourist/visitor arrivals (thousands),244
Bermuda,2017,Tourist/visitor arrivals (thousands),270
Bermuda,2018,Tourist/visitor arrivals (thousands),282
Bermuda,1995,Tourism expenditure (millions of US dollars),488
Bermuda,2005,Tourism expenditure (millions of US dollars),429
Bermuda,2010,Tourism expenditure (millions of US dollars),442
Bermuda,2016,Tourism expenditure (millions of US dollars),441
Bermuda,2017,Tourism expenditure (millions of US dollars),513
Bermuda,2018,Tourism expenditure (millions of US dollars),583
Bhutan,1995,Tourist/visitor arrivals (thousands),4.8
Bhutan,2005,Tourist/visitor arrivals (thousands),13.6
Bhutan,2010,Tourist/visitor arrivals (thousands),41
Bhutan,2016,Tourist/visitor arrivals (thousands),210
Bhutan,2017,Tourist/visitor arrivals (thousands),255
Bhutan,2018,Tourist/visitor arrivals (thousands),274
Bhutan,1995,Tourism expenditure (millions of US dollars),5
Bhutan,2005,Tourism expenditure (millions of US dollars),19
Bhutan,2010,Tourism expenditure (millions of US dollars),64
Bhutan,2016,Tourism expenditure (millions of US dollars),139
Bhutan,2017,Tourism expenditure (millions of US dollars),153
Bhutan,2018,Tourism expenditure (millions of US dollars),121
Bolivia (Plurin. State of),1995,Tourist/visitor arrivals (thousands),284
Bolivia (Plurin. State of),2005,Tourist/visitor arrivals (thousands),524
Bolivia (Plurin. State of),2010,Tourist/visitor arrivals (thousands),679
Bolivia (Plurin. State of),2016,Tourist/visitor arrivals (thousands),961
Bolivia (Plurin. State of),2017,Tourist/visitor arrivals (thousands),1109
Bolivia (Plurin. State of),2018,Tourist/visitor arrivals (thousands),1142
Bolivia (Plurin. State of),1995,Tourism expenditure (millions of US dollars),92
Bolivia (Plurin. State of),2005,Tourism expenditure (millions of US dollars),345
Bolivia (Plurin. State of),2010,Tourism expenditure (millions of US dollars),339
Bolivia (Plurin. State of),2016,Tourism expenditure (millions of US dollars),827
Bolivia (Plurin. State of),2017,Tourism expenditure (millions of US dollars),912
Bolivia (Plurin. State of),2018,Tourism expenditure (millions of US dollars),970
Bonaire,1995,Tourist/visitor arrivals (thousands),59
Bonaire,2005,Tourist/visitor arrivals (thousands),63
Bonaire,2010,Tourist/visitor arrivals (thousands),71
Bonaire,1995,Tourism expenditure (millions of US dollars),37
Bonaire,2005,Tourism expenditure (millions of US dollars),87
Bosnia and Herzegovina,2005,Tourist/visitor arrivals (thousands),217
Bosnia and Herzegovina,2010,Tourist/visitor arrivals (thousands),365
Bosnia and Herzegovina,2016,Tourist/visitor arrivals (thousands),778
Bosnia and Herzegovina,2017,Tourist/visitor arrivals (thousands),923
Bosnia and Herzegovina,2018,Tourist/visitor arrivals (thousands),1053
Bosnia and Herzegovina,2005,Tourism expenditure (millions of US dollars),557
Bosnia and Herzegovina,2010,Tourism expenditure (millions of US dollars),662
Bosnia and Herzegovina,2016,Tourism expenditure (millions of US dollars),876
Bosnia and Herzegovina,2017,Tourism expenditure (millions of US dollars),985
Bosnia and Herzegovina,2018,Tourism expenditure (millions of US dollars),1081
Botswana,1995,Tourist/visitor arrivals (thousands),521
Botswana,2005,Tourist/visitor arrivals (thousands),1474
Botswana,2010,Tourist/visitor arrivals (thousands),1973
Botswana,2016,Tourist/visitor arrivals (thousands),1574
Botswana,2017,Tourist/visitor arrivals (thousands),1623
Botswana,1995,Tourism expenditure (millions of US dollars),176
Botswana,2005,Tourism expenditure (millions of US dollars),563
Botswana,2010,Tourism expenditure (millions of US dollars),440.1
Botswana,2016,Tourism expenditure (millions of US dollars),505
Botswana,2017,Tourism expenditure (millions of US dollars),541.6
Botswana,2018,Tourism expenditure (millions of US dollars),575.3
Brazil,1995,Tourist/visitor arrivals (thousands),1991
Brazil,2005,Tourist/visitor arrivals (thousands),5358
Brazil,2010,Tourist/visitor arrivals (thousands),5161
Brazil,2016,Tourist/visitor arrivals (thousands),6547
Brazil,2017,Tourist/visitor arrivals (thousands),6589
Brazil,2018,Tourist/visitor arrivals (thousands),6621
Brazil,1995,Tourism expenditure (millions of US dollars),1085
Brazil,2005,Tourism expenditure (millions of US dollars),4168
Brazil,2010,Tourism expenditure (millions of US dollars),5522
Brazil,2016,Tourism expenditure (millions of US dollars),6613
Brazil,2017,Tourism expenditure (millions of US dollars),6175
Brazil,2018,Tourism expenditure (millions of US dollars),6324
British Virgin Islands,1995,Tourist/visitor arrivals (thousands),219
British Virgin Islands,2005,Tourist/visitor arrivals (thousands),337
British Virgin Islands,2010,Tourist/visitor arrivals (thousands),330
British Virgin Islands,2016,Tourist/visitor arrivals (thousands),408
British Virgin Islands,2017,Tourist/visitor arrivals (thousands),335
British Virgin Islands,2018,Tourist/visitor arrivals (thousands),192
British Virgin Islands,1995,Tourism expenditure (millions of US dollars),211
British Virgin Islands,2005,Tourism expenditure (millions of US dollars),412
British Virgin Islands,2010,Tourism expenditure (millions of US dollars),389
Brunei Darussalam,2005,Tourist/visitor arrivals (thousands),126
Brunei Darussalam,2010,Tourist/visitor arrivals (thousands),214
Brunei Darussalam,2016,Tourist/visitor arrivals (thousands),219
Brunei Darussalam,2017,Tourist/visitor arrivals (thousands),259
Brunei Darussalam,2018,Tourist/visitor arrivals (thousands),278
Brunei Darussalam,2005,Tourism expenditure (millions of US dollars),191
Brunei Darussalam,2016,Tourism expenditure (millions of US dollars),144
Brunei Darussalam,2017,Tourism expenditure (millions of US dollars),177
Brunei Darussalam,2018,Tourism expenditure (millions of US dollars),190
Bulgaria,1995,Tourist/visitor arrivals (thousands),3466
Bulgaria,2005,Tourist/visitor arrivals (thousands),4837
Bulgaria,2010,Tourist/visitor arrivals (thousands),6047
Bulgaria,2016,Tourist/visitor arrivals (thousands),8252
Bulgaria,2017,Tourist/visitor arrivals (thousands),8883
Bulgaria,2018,Tourist/visitor arrivals (thousands),9273
Bulgaria,1995,Tourism expenditure (millions of US dollars),662
Bulgaria,2005,Tourism expenditure (millions of US dollars),3063
Bulgaria,2010,Tourism expenditure (millions of US dollars),3807
Bulgaria,2016,Tourism expenditure (millions of US dollars),4164
Bulgaria,2017,Tourism expenditure (millions of US dollars),4678
Bulgaria,2018,Tourism expenditure (millions of US dollars),5072
Burkina Faso,1995,Tourist/visitor arrivals (thousands),124
Burkina Faso,2005,Tourist/visitor arrivals (thousands),245
Burkina Faso,2010,Tourist/visitor arrivals (thousands),274
Burkina Faso,2016,Tourist/visitor arrivals (thousands),152
Burkina Faso,2017,Tourist/visitor arrivals (thousands),143
Burkina Faso,2018,Tourist/visitor arrivals (thousands),144
Burkina Faso,2005,Tourism expenditure (millions of US dollars),46
Burkina Faso,2010,Tourism expenditure (millions of US dollars),105
Burkina Faso,2016,Tourism expenditure (millions of US dollars),172
Burkina Faso,2017,Tourism expenditure (millions of US dollars),172
Burundi,1995,Tourist/visitor arrivals (thousands),34
Burundi,2005,Tourist/visitor arrivals (thousands),148
Burundi,2010,Tourist/visitor arrivals (thousands),142
Burundi,2016,Tourist/visitor arrivals (thousands),187
Burundi,2017,Tourist/visitor arrivals (thousands),299
Burundi,1995,Tourism expenditure (millions of US dollars),2.425
Burundi,2005,Tourism expenditure (millions of US dollars),1.9
Burundi,2010,Tourism expenditure (millions of US dollars),2.1
Cabo Verde,1995,Tourist/visitor arrivals (thousands),28
Cabo Verde,2005,Tourist/visitor arrivals (thousands),198
Cabo Verde,2010,Tourist/visitor arrivals (thousands),336
Cabo Verde,2016,Tourist/visitor arrivals (thousands),598
Cabo Verde,2017,Tourist/visitor arrivals (thousands),668
Cabo Verde,2018,Tourist/visitor arrivals (thousands),710
Cabo Verde,1995,Tourism expenditure (millions of US dollars),29
Cabo Verde,2005,Tourism expenditure (millions of US dollars),177
Cabo Verde,2010,Tourism expenditure (millions of US dollars),387
Cabo Verde,2016,Tourism expenditure (millions of US dollars),397
Cabo Verde,2017,Tourism expenditure (millions of US dollars),450
Cabo Verde,2018,Tourism expenditure (millions of US dollars),524
Cambodia,1995,Tourist/visitor arrivals (thousands),220
Cambodia,2005,Tourist/visitor arrivals (thousands),1422
Cambodia,2010,Tourist/visitor arrivals (thousands),2508
Cambodia,2016,Tourist/visitor arrivals (thousands),5012
Cambodia,2017,Tourist/visitor arrivals (thousands),5602
Cambodia,2018,Tourist/visitor arrivals (thousands),6201
Cambodia,1995,Tourism expenditure (millions of US dollars),71
Cambodia,2005,Tourism expenditure (millions of US dollars),929
Cambodia,2010,Tourism expenditure (millions of US dollars),1671
Cambodia,2016,Tourism expenditure (millions of US dollars),3523
Cambodia,2017,Tourism expenditure (millions of US dollars),4024
Cambodia,2018,Tourism expenditure (millions of US dollars),4832
Cameroon,2010,Tourist/visitor arrivals (thousands),573
Cameroon,2016,Tourist/visitor arrivals (thousands),994
Cameroon,2017,Tourist/visitor arrivals (thousands),1081
Cameroon,1995,Tourism expenditure (millions of US dollars),75
Cameroon,2005,Tourism expenditure (millions of US dollars),229
Cameroon,2010,Tourism expenditure (millions of US dollars),171
Cameroon,2016,Tourism expenditure (millions of US dollars),508
Cameroon,2017,Tourism expenditure (millions of US dollars),543
Cameroon,2018,Tourism expenditure (millions of US dollars),633
Canada,1995,Tourist/visitor arrivals (thousands),16932
Canada,2005,Tourist/visitor arrivals (thousands),18771
Canada,2010,Tourist/visitor arrivals (thousands),16219
Canada,2016,Tourist/visitor arrivals (thousands),19971
Canada,2017,Tourist/visitor arrivals (thousands),20883
Canada,2018,Tourist/visitor arrivals (thousands),21134
Canada,1995,Tourism expenditure (millions of US dollars),9176
Canada,2005,Tourism expenditure (millions of US dollars),15887
Canada,2010,Tourism expenditure (millions of US dollars),18439
Cayman Islands,1995,Tourist/visitor arrivals (thousands),361
Cayman Islands,2005,Tourist/visitor arrivals (thousands),168
Cayman Islands,2010,Tourist/visitor arrivals (thousands),288
Cayman Islands,2016,Tourist/visitor arrivals (thousands),385
Cayman Islands,2017,Tourist/visitor arrivals (thousands),418
Cayman Islands,2018,Tourist/visitor arrivals (thousands),463
Cayman Islands,1995,Tourism expenditure (millions of US dollars),394
Cayman Islands,2005,Tourism expenditure (millions of US dollars),356
Cayman Islands,2010,Tourism expenditure (millions of US dollars),465
Cayman Islands,2016,Tourism expenditure (millions of US dollars),696
Cayman Islands,2017,Tourism expenditure (millions of US dollars),782
Cayman Islands,2018,Tourism expenditure (millions of US dollars),880
Central African Republic,1995,Tourist/visitor arrivals (thousands),26
Central African Republic,2005,Tourist/visitor arrivals (thousands),12
Central African Republic,2010,Tourist/visitor arrivals (thousands),53.8
Central African Republic,2016,Tourist/visitor arrivals (thousands),82
Central African Republic,2017,Tourist/visitor arrivals (thousands),107
Central African Republic,1995,Tourism expenditure (millions of US dollars),4
Central African Republic,2005,Tourism expenditure (millions of US dollars),7.2
Central African Republic,2010,Tourism expenditure (millions of US dollars),14.4
Chad,2010,Tourist/visitor arrivals (thousands),71
Chad,2016,Tourist/visitor arrivals (thousands),98
Chad,2017,Tourist/visitor arrivals (thousands),87
Chad,1995,Tourism expenditure (millions of US dollars),43
Chile,1995,Tourist/visitor arrivals (thousands),1540
Chile,2005,Tourist/visitor arrivals (thousands),2027
Chile,2010,Tourist/visitor arrivals (thousands),2801
Chile,2016,Tourist/visitor arrivals (thousands),5641
Chile,2017,Tourist/visitor arrivals (thousands),6450
Chile,2018,Tourist/visitor arrivals (thousands),5723
Chile,1995,Tourism expenditure (millions of US dollars),1186
Chile,2005,Tourism expenditure (millions of US dollars),1608
Chile,2010,Tourism expenditure (millions of US dollars),2362
Chile,2016,Tourism expenditure (millions of US dollars),3744
Chile,2017,Tourism expenditure (millions of US dollars),4372
Chile,2018,Tourism expenditure (millions of US dollars),3972
China,1995,Tourist/visitor arrivals (thousands),20034
China,2005,Tourist/visitor arrivals (thousands),46809
China,2010,Tourist/visitor arrivals (thousands),55664
China,2016,Tourist/visitor arrivals (thousands),59270
China,2017,Tourist/visitor arrivals (thousands),60740
China,2018,Tourist/visitor arrivals (thousands),62900
China,1995,Tourism expenditure (millions of US dollars),8730
China,2005,Tourism expenditure (millions of US dollars),29296
China,2010,Tourism expenditure (millions of US dollars),45814
China,2016,Tourism expenditure (millions of US dollars),44432
China,2017,Tourism expenditure (millions of US dollars),38559
China,2018,Tourism expenditure (millions of US dollars),40386
"China, Hong Kong SAR",2005,Tourist/visitor arrivals (thousands),14773
"China, Hong Kong SAR",2010,Tourist/visitor arrivals (thousands),20085
"China, Hong Kong SAR",2016,Tourist/visitor arrivals (thousands),26553
"China, Hong Kong SAR",2017,Tourist/visitor arrivals (thousands),27884
"China, Hong Kong SAR",2018,Tourist/visitor arrivals (thousands),29263
"China, Hong Kong SAR",2005,Tourism expenditure (millions of US dollars),13588
"China, Hong Kong SAR",2010,Tourism expenditure (millions of US dollars),27208
"China, Hong Kong SAR",2016,Tourism expenditure (millions of US dollars),37838
"China, Hong Kong SAR",2017,Tourism expenditure (millions of US dollars),38170
"China, Hong Kong SAR",2018,Tourism expenditure (millions of US dollars),41870
"China, Macao SAR",1995,Tourist/visitor arrivals (thousands),4202
"China, Macao SAR",2005,Tourist/visitor arrivals (thousands),9014
"China, Macao SAR",2010,Tourist/visitor arrivals (thousands),11926
"China, Macao SAR",2016,Tourist/visitor arrivals (thousands),15703.6
"China, Macao SAR",2017,Tourist/visitor arrivals (thousands),17255
"China, Macao SAR",2018,Tourist/visitor arrivals (thousands),18493
"China, Macao SAR",1995,Tourism expenditure (millions of US dollars),3233
"China, Macao SAR",2005,Tourism expenditure (millions of US dollars),7181
"China, Macao SAR",2010,Tourism expenditure (millions of US dollars),22688
"China, Macao SAR",2016,Tourism expenditure (millions of US dollars),31015
"China, Macao SAR",2017,Tourism expenditure (millions of US dollars),36465
"China, Macao SAR",2018,Tourism expenditure (millions of US dollars),40358
Colombia,1995,Tourist/visitor arrivals (thousands),1399
Colombia,2005,Tourist/visitor arrivals (thousands),933
Colombia,2010,Tourist/visitor arrivals (thousands),1405
Colombia,2016,Tourist/visitor arrivals (thousands),3254
Colombia,2017,Tourist/visitor arrivals (thousands),3631
Colombia,2018,Tourist/visitor arrivals (thousands),3904
Colombia,1995,Tourism expenditure (millions of US dollars),887
Colombia,2005,Tourism expenditure (millions of US dollars),1891
Colombia,2010,Tourism expenditure (millions of US dollars),3441
Colombia,2016,Tourism expenditure (millions of US dollars),5584
Colombia,2017,Tourism expenditure (millions of US dollars),5882
Colombia,2018,Tourism expenditure (millions of US dollars),6617
Comoros,1995,Tourist/visitor arrivals (thousands),23
Comoros,2005,Tourist/visitor arrivals (thousands),25.9
Comoros,2010,Tourist/visitor arrivals (thousands),15.3
Comoros,2016,Tourist/visitor arrivals (thousands),26.8
Comoros,2017,Tourist/visitor arrivals (thousands),28
