date,bikes_hired,year,wday,month,week,cloud_cover,humidity,pressure,radiation,precipitation,snow_depth,sunshine,mean_temp,min_temp,max_temp
2010-09-06T00:00:00Z,16841,2010,Mon,Sep,36,5,69,10079,74,72,NA,6,17.6,13.3,19.6
2010-09-07T00:00:00Z,25361,2010,Tue,Sep,36,5,82,10009,149,14,NA,55,16.3,13,20.6
2010-09-08T00:00:00Z,18727,2010,Wed,Sep,36,7,80,10034,93,0,NA,16,17,13.3,22.5
2010-09-09T00:00:00Z,20774,2010,Thu,Sep,36,4,76,10142,166,2,NA,72,17.7,12.8,22.4
2010-09-10T00:00:00Z,19532,2010,Fri,Sep,36,8,79,10177,101,2,NA,22,18.2,14,22.5
2010-09-11T00:00:00Z,13383,2010,Sat,Sep,36,6,79,10147,88,0,NA,15,19.5,16.4,20.8
2010-09-12T00:00:00Z,14002,2010,Sun,Sep,36,1,71,10226,197,0,NA,107,15.9,11,18.5
2010-09-13T00:00:00Z,18037,2010,Mon,Sep,37,7,77,10250,69,0,NA,6,14.3,10.1,20.1
2010-09-14T00:00:00Z,17026,2010,Tue,Sep,37,6,84,10160,49,28,NA,0,17.6,15,18
2010-09-15T00:00:00Z,20890,2010,Wed,Sep,37,4,72,10119,131,2,NA,49,13.7,9.3,18.1
2010-09-16T00:00:00Z,20433,2010,Thu,Sep,37,5,72,10117,115,0,NA,37,14.8,11.5,16.4
2010-09-17T00:00:00Z,20488,2010,Fri,Sep,37,2,68,10167,138,0,NA,57,11.8,7.2,18
2010-09-18T00:00:00Z,15495,2010,Sat,Sep,37,4,65,10195,161,0,NA,81,12.3,6.6,18.3
2010-09-19T00:00:00Z,11492,2010,Sun,Sep,37,7,72,10155,46,0,NA,0,15,11.6,22.8
2010-09-20T00:00:00Z,20169,2010,Mon,Sep,38,5,68,10138,139,0,NA,62,18.7,14.5,21.9
2010-09-21T00:00:00Z,22906,2010,Tue,Sep,38,2,75,10190,142,0,NA,66,15.9,9.9,23.9
2010-09-22T00:00:00Z,23905,2010,Wed,Sep,38,1,75,10159,147,10,NA,73,17.1,10.3,18.3
2010-09-23T00:00:00Z,17729,2010,Thu,Sep,38,6,90,10070,48,98,NA,1,16.3,14.2,14.4
2010-09-24T00:00:00Z,18053,2010,Fri,Sep,38,6,85,10065,48,22,NA,1,12.4,10.3,13.9
2010-09-25T00:00:00Z,14010,2010,Sat,Sep,38,1,67,10164,143,0,NA,74,9.7,5.4,13.8
2010-09-26T00:00:00Z,7890,2010,Sun,Sep,38,6,79,10132,78,12,NA,17,10.7,7.5,15.9
2010-09-27T00:00:00Z,18789,2010,Mon,Sep,39,8,91,10126,41,4,NA,0,13.3,10.7,16.9
2010-09-28T00:00:00Z,21554,2010,Tue,Sep,39,7,89,10168,40,2,NA,0,14.8,12.6,17.3
2010-09-29T00:00:00Z,13899,2010,Wed,Sep,39,7,90,10158,40,94,NA,0,15.6,13.9,16.4
2010-09-30T00:00:00Z,21823,2010,Thu,Sep,39,3,84,10139,116,18,NA,54,11.7,6.9,16.6
2010-10-01T00:00:00Z,11424,2010,Fri,Oct,39,8,92,10031,39,104,NA,0,13.6,10.5,17.8
2010-10-02T00:00:00Z,10704,2010,Sat,Oct,39,4,91,10036,81,218,NA,24,13.8,9.8,17.9
2010-10-03T00:00:00Z,8237,2010,Sun,Oct,39,8,88,9960,55,38,NA,7,15,12,16.6
2010-10-04T00:00:00Z,23688,2010,Mon,Oct,40,6,93,9989,53,2,NA,6,14.8,12.9,18.3
2010-10-05T00:00:00Z,22054,2010,Tue,Oct,40,7,86,10006,36,128,NA,0,14.7,11.1,18.3
2010-10-06T00:00:00Z,20114,2010,Wed,Oct,40,4,79,10066,118,0,NA,65,15.7,13.1,18.6
2010-10-07T00:00:00Z,24072,2010,Thu,Oct,40,3,82,10174,112,0,NA,60,13.3,8,21.1
2010-10-08T00:00:00Z,22886,2010,Fri,Oct,40,6,88,10155,105,0,NA,54,16.9,12.7,17.6
2010-10-09T00:00:00Z,14463,2010,Sat,Oct,40,8,85,10146,34,0,NA,0,16.4,15.2,20.3
2010-10-10T00:00:00Z,14871,2010,Sun,Oct,40,4,74,10126,112,0,NA,65,17,13.7,18.6
2010-10-11T00:00:00Z,21986,2010,Mon,Oct,41,3,73,10181,133,0,NA,95,14.9,11.1,15.3
2010-10-12T00:00:00Z,23016,2010,Tue,Oct,41,6,75,10206,89,0,NA,42,12.4,9.5,12.5
2010-10-13T00:00:00Z,22251,2010,Wed,Oct,41,8,71,10213,32,0,NA,0,11.1,9.7,11.7
2010-10-14T00:00:00Z,21582,2010,Thu,Oct,41,8,77,10214,31,0,NA,0,10.7,9.7,13.1
2010-10-15T00:00:00Z,20934,2010,Fri,Oct,41,8,85,10186,31,8,NA,0,11.4,9.7,13.5
2010-10-16T00:00:00Z,12735,2010,Sat,Oct,41,2,80,10204,92,8,NA,51,10,6.5,13.9
2010-10-17T00:00:00Z,12764,2010,Sun,Oct,41,3,67,10259,84,0,NA,44,9.3,4.6,14.6
2010-10-18T00:00:00Z,20464,2010,Mon,Oct,42,6,76,10197,56,10,NA,16,8.7,2.8,13.8
2010-10-19T00:00:00Z,17964,2010,Tue,Oct,42,4,82,10113,85,40,NA,47,10.7,7.5,9.3
2010-10-20T00:00:00Z,20750,2010,Wed,Oct,42,0,66,10199,119,2,NA,96,6,2.7,12.5
2010-10-21T00:00:00Z,21161,2010,Thu,Oct,42,2,75,10232,94,0,NA,62,6,-0.6,14.2
2010-10-22T00:00:00Z,20164,2010,Fri,Oct,42,6,80,10176,42,60,NA,7,8.9,3.5,12.8
2010-10-23T00:00:00Z,11584,2010,Sat,Oct,42,6,83,10040,70,2,NA,35,10.5,8.2,11.2
2010-10-24T00:00:00Z,11259,2010,Sun,Oct,42,1,79,10159,99,0,NA,76,7,2.7,12.1
2010-10-25T00:00:00Z,18430,2010,Mon,Oct,43,0,72,10284,108,2,NA,92,6.3,0.5,14
2010-10-26T00:00:00Z,13950,2010,Tue,Oct,43,8,87,10234,25,40,0,0,8,1.9,17.6
2010-10-27T00:00:00Z,19559,2010,Wed,Oct,43,4,84,10166,68,2,0,38,13.4,9.1,15.8
2010-10-28T00:00:00Z,19995,2010,Thu,Oct,43,5,84,10149,35,0,0,5,13,10.2,14.8
2010-10-29T00:00:00Z,19119,2010,Fri,Oct,43,6,83,10004,24,26,0,0,13.4,11.9,14.6
2010-10-30T00:00:00Z,13493,2010,Sat,Oct,43,4,85,9975,76,24,0,53,11.7,8.7,12.5
2010-10-31T00:00:00Z,8739,2010,Sun,Oct,43,7,91,10002,23,34,0,0,10.9,9.3,14.1
2010-11-01T00:00:00Z,19785,2010,Mon,Nov,44,5,87,10136,52,4,0,24,10.9,7.7,15.3
2010-11-02T00:00:00Z,21754,2010,Tue,Nov,44,6,81,10098,26,0,0,1,12.5,9.7,16.6
2010-11-03T00:00:00Z,27964,2010,Wed,Nov,44,6,78,10114,49,0,0,22,14.6,12.5,18.5
2010-11-04T00:00:00Z,22424,2010,Thu,Nov,44,6,79,10177,58,0,0,35,16,13.4,17.4
2010-11-05T00:00:00Z,15815,2010,Fri,Nov,44,8,87,10187,24,66,0,1,16.1,14.7,11.7
2010-11-06T00:00:00Z,11877,2010,Sat,Nov,44,6,84,10158,43,0,0,17,9.8,7.8,9.3
2010-11-07T00:00:00Z,9331,2010,Sun,Nov,44,7,82,10062,42,20,0,17,7,4.7,9.5
2010-11-08T00:00:00Z,11328,2010,Mon,Nov,45,8,88,9731,28,42,0,4,7.1,4.6,8.7
2010-11-09T00:00:00Z,16026,2010,Tue,Nov,45,6,86,9765,20,4,0,0,7,5.3,10.1
2010-11-10T00:00:00Z,19767,2010,Wed,Nov,45,1,70,9983,73,12,0,68,6.4,2.6,15
2010-11-11T00:00:00Z,12901,2010,Thu,Nov,45,6,81,9905,35,46,0,12,7.9,0.7,12
2010-11-12T00:00:00Z,14534,2010,Fri,Nov,45,7,81,9926,19,28,0,0,10.8,9.6,10.4
2010-11-13T00:00:00Z,12123,2010,Sat,Nov,45,7,84,9936,19,6,0,0,9.5,8.6,8.1
2010-11-14T00:00:00Z,6235,2010,Sun,Nov,45,7,92,9959,18,28,0,0,7.4,6.6,8.2
2010-11-15T00:00:00Z,18086,2010,Mon,Nov,46,2,93,10137,46,2,0,29,4.2,0.1,7.4
2010-11-16T00:00:00Z,18764,2010,Tue,Nov,46,7,96,10200,25,2,0,4,3.4,-0.6,7.5
2010-11-17T00:00:00Z,17005,2010,Wed,Nov,46,7,86,10077,17,34,0,0,4.2,0.9,10.9
2010-11-18T00:00:00Z,15974,2010,Thu,Nov,46,7,92,10049,41,2,0,24,8,5,12.2
2010-11-19T00:00:00Z,18545,2010,Fri,Nov,46,6,90,10114,59,4,0,56,7.2,2.2,8.4
2010-11-20T00:00:00Z,10806,2010,Sat,Nov,46,8,91,10133,17,0,0,0,5.9,3.3,7.7
2010-11-21T00:00:00Z,8356,2010,Sun,Nov,46,8,88,10115,16,0,0,0,6.3,4.8,7.7
2010-11-22T00:00:00Z,17258,2010,Mon,Nov,47,7,86,10097,21,2,0,3,6.3,4.8,7.6
2010-11-23T00:00:00Z,17427,2010,Tue,Nov,47,7,81,10118,18,0,0,1,6.5,5.3,5.6
2010-11-24T00:00:00Z,18628,2010,Wed,Nov,47,3,83,10106,50,2,0,46,2.7,-0.3,2.5
2010-11-25T00:00:00Z,16822,2010,Thu,Nov,47,6,78,10086,26,0,0,9,1.3,0,3.8
2010-11-26T00:00:00Z,16092,2010,Fri,Nov,47,2,77,10071,59,0,0,67,0.2,-3.4,1.5
2010-11-27T00:00:00Z,7867,2010,Sat,Nov,47,6,84,10040,17,0,0,1,-0.8,-3.1,1.6
2010-11-28T00:00:00Z,6866,2010,Sun,Nov,47,4,75,10060,53,0,0,56,-1.6,-4.8,1.5
2010-11-29T00:00:00Z,16681,2010,Mon,Nov,48,6,79,10114,20,12,0,3,-1.1,-3.6,2
2010-11-30T00:00:00Z,9263,2010,Tue,Nov,48,7,87,10122,14,6,0,0,0.7,-0.6,0.3
2010-12-01T00:00:00Z,9848,2010,Wed,Dec,48,8,65,10076,14,22,0,0,-0.5,-1.3,0.1
2010-12-02T00:00:00Z,7356,2010,Thu,Dec,48,8,78,10078,13,0,2,0,-0.6,-1.2,3.6
2010-12-03T00:00:00Z,8264,2010,Fri,Dec,48,5,85,10119,13,0,1,0,-0.7,-5,6.5
2010-12-04T00:00:00Z,7857,2010,Sat,Dec,48,7,91,10045,13,8,0,0,1.2,-4.1,5
2010-12-05T00:00:00Z,8321,2010,Sun,Dec,48,1,90,10045,39,0,0,38,3,1,-0.4
2010-12-06T00:00:00Z,13855,2010,Mon,Dec,49,8,94,10031,13,0,0,0,-1.8,-3.1,1.7
2010-12-07T00:00:00Z,15033,2010,Tue,Dec,49,7,86,10054,16,0,0,2,-0.7,-3,3.4
2010-12-08T00:00:00Z,15225,2010,Wed,Dec,49,5,84,10132,29,0,0,21,1.1,-1.2,4.3
2010-12-09T00:00:00Z,16171,2010,Thu,Dec,49,2,75,10298,35,0,0,32,1.1,-2.2,7.1
2010-12-10T00:00:00Z,15602,2010,Fri,Dec,49,6,87,10316,12,0,0,0,3.2,-0.7,8.7
2010-12-11T00:00:00Z,10328,2010,Sat,Dec,49,8,80,10258,14,0,0,1,6.3,3.8,6.2
2010-12-12T00:00:00Z,8585,2010,Sun,Dec,49,4,86,10245,36,2,0,36,3.3,0.4,4.3
2010-12-13T00:00:00Z,14997,2010,Mon,Dec,50,5,92,10277,20,2,0,8,1.7,-1,5.1
2010-12-14T00:00:00Z,15550,2010,Tue,Dec,50,8,84,10329,16,0,0,3,2.8,0.4,5.9
2010-12-15T00:00:00Z,13412,2010,Wed,Dec,50,6,88,10351,12,4,0,0,2.6,-0.7,7.1
2010-12-16T00:00:00Z,10833,2010,Thu,Dec,50,7,85,10107,12,32,0,0,4,0.8,0.2
2010-12-17T00:00:00Z,10366,2010,Fri,Dec,50,4,79,9989,24,2,0,14,-2.1,-4.4,0.5
2010-12-18T00:00:00Z,2805,2010,Sat,Dec,50,8,88,9920,12,60,1,0,-3.2,-6.9,0.5
2010-12-19T00:00:00Z,2764,2010,Sun,Dec,50,6,82,9948,12,0,7,0,-2.8,-6.1,1.2
2010-12-20T00:00:00Z,6876,2010,Mon,Dec,51,7,84,10012,17,0,5,4,-4.1,-9.4,1.8
2010-12-21T00:00:00Z,7879,2010,Tue,Dec,51,8,92,10026,12,10,4,0,-1.7,-5.1,1.7
2010-12-22T00:00:00Z,9718,2010,Wed,Dec,51,8,90,10059,12,0,2,0,1,0.2,2.3
2010-12-23T00:00:00Z,8867,2010,Thu,Dec,51,7,76,10104,12,2,1,0,0.6,-1.1,2.1
2010-12-24T00:00:00Z,5402,2010,Fri,Dec,51,7,78,10188,19,2,1,6,0.7,-0.7,-0.8
2010-12-25T00:00:00Z,5621,2010,Sat,Dec,51,5,84,10280,14,0,1,1,-1.5,-2.2,3.9
2010-12-26T00:00:00Z,4383,2010,Sun,Dec,51,3,75,10278,27,0,1,19,-1.2,-6.2,4.9
2010-12-27T00:00:00Z,3971,2010,Mon,Dec,52,8,76,10169,12,50,1,0,0.2,-4.6,8
2010-12-28T00:00:00Z,3763,2010,Tue,Dec,52,8,96,10139,12,4,0,0,5.3,2.5,9.5
2010-12-29T00:00:00Z,7010,2010,Wed,Dec,52,8,98,10196,12,14,0,0,6.8,4.1,7.7
2010-12-30T00:00:00Z,7464,2010,Thu,Dec,52,8,95,10244,12,0,NA,0,6.9,6.1,6.8
2010-12-31T00:00:00Z,7448,2010,Fri,Dec,52,8,89,10265,13,0,0,0,5.9,5,7.2
2011-01-01T00:00:00Z,4555,2011,Sat,Jan,52,8,86,10250,13,6,0,0,5.9,4.6,4
2011-01-02T00:00:00Z,6250,2011,Sun,Jan,52,8,79,10283,15,0,0,1,3,1.9,2.9
2011-01-03T00:00:00Z,7262,2011,Mon,Jan,1,7,77,10246,15,0,0,1,1.3,-0.3,6
2011-01-04T00:00:00Z,13430,2011,Tue,Jan,1,7,87,10136,13,0,NA,0,2.9,-0.3,7.1
2011-01-05T00:00:00Z,13757,2011,Wed,Jan,1,6,85,10004,31,10,0,23,4.2,1.3,5.1
2011-01-06T00:00:00Z,9595,2011,Thu,Jan,1,8,95,9956,13,110,NA,0,4.5,3.9,11
2011-01-07T00:00:00Z,9294,2011,Fri,Jan,1,8,94,9992,13,136,0,0,6,1,10
2011-01-08T00:00:00Z,9338,2011,Sat,Jan,1,5,82,9969,29,2,0,18,7,3.9,7.2
2011-01-09T00:00:00Z,10558,2011,Sun,Jan,1,0,79,10116,54,2,0,67,4.1,0.9,8.9
2011-01-10T00:00:00Z,16058,2011,Mon,Jan,2,6,87,10123,18,70,0,3,3.5,-1.9,8.7
2011-01-11T00:00:00Z,16412,2011,Tue,Jan,2,7,84,10059,16,60,0,1,6.8,4.8,12.9
2011-01-12T00:00:00Z,13894,2011,Wed,Jan,2,8,91,10111,14,4,0,0,8.3,3.7,13.7
2011-01-13T00:00:00Z,15911,2011,Thu,Jan,2,8,91,10097,14,10,0,0,11.2,8.7,12.1
2011-01-14T00:00:00Z,14834,2011,Fri,Jan,2,6,89,10099,14,72,0,0,11.6,11.1,12.3
2011-01-15T00:00:00Z,11851,2011,Sat,Jan,2,8,81,10154,15,0,0,0,9.9,7.5,12.4
2011-01-16T00:00:00Z,10471,2011,Sun,Jan,2,8,84,10166,20,84,0,3,11.3,10.1,8.4
2011-01-17T00:00:00Z,10835,2011,Mon,Jan,3,8,92,10191,15,176,0,0,8.2,8,7.5
2011-01-18T00:00:00Z,17703,2011,Tue,Jan,3,3,86,10274,55,0,0,59,5.6,3.7,7.4
2011-01-19T00:00:00Z,18350,2011,Wed,Jan,3,2,90,10348,48,2,0,43,3.2,-1.1,5.3
2011-01-20T00:00:00Z,17957,2011,Thu,Jan,3,7,88,10363,16,0,0,0,2.9,0.5,3.5
2011-01-21T00:00:00Z,16509,2011,Fri,Jan,3,5,82,10390,49,2,0,43,2.1,0.7,6.7
2011-01-22T00:00:00Z,10658,2011,Sat,Jan,3,7,87,10373,25,2,0,6,2.9,-1,7.7
2011-01-23T00:00:00Z,9911,2011,Sun,Jan,3,8,86,10343,17,8,0,0,5.1,2.5,7.2
2011-01-24T00:00:00Z,17193,2011,Mon,Jan,4,7,84,10310,17,6,0,0,6.5,5.8,8.5
2011-01-25T00:00:00Z,17045,2011,Tue,Jan,4,8,89,10175,19,4,0,1,4.9,1.3,7.1
2011-01-26T00:00:00Z,16396,2011,Wed,Jan,4,8,88,10107,17,2,0,0,6.5,5.9,3.1
2011-01-27T00:00:00Z,16519,2011,Thu,Jan,4,8,66,10211,18,0,0,0,2.4,1.6,1.9
2011-01-28T00:00:00Z,15538,2011,Fri,Jan,4,8,61,10235,22,0,0,2,1.3,0.7,2
2011-01-29T00:00:00Z,9379,2011,Sat,Jan,4,8,72,10227,18,0,0,0,1,-0.1,5.6
2011-01-30T00:00:00Z,9455,2011,Sun,Jan,4,5,73,10233,58,0,0,46,2.4,-0.8,4.8
2011-01-31T00:00:00Z,16260,2011,Mon,Jan,5,4,77,10257,54,0,0,39,2,-0.8,8
2011-02-01T00:00:00Z,16331,2011,Tue,Feb,5,7,87,10259,25,2,0,3,2.9,-2.2,10.7
2011-02-02T00:00:00Z,18102,2011,Wed,Feb,5,7,92,10247,22,0,0,1,6.4,2.1,10.8
2011-02-03T00:00:00Z,15593,2011,Thu,Feb,5,3,79,10232,55,0,0,36,7.3,3.7,12.3
2011-02-04T00:00:00Z,14938,2011,Fri,Feb,5,8,78,10163,20,0,0,0,8.6,4.9,13.1
2011-02-05T00:00:00Z,8442,2011,Sat,Feb,5,8,78,10176,21,0,0,0,12,10.8,11.8
2011-02-06T00:00:00Z,9437,2011,Sun,Feb,5,8,78,10200,21,0,0,0,11,10.2,12.2
2011-02-07T00:00:00Z,16537,2011,Mon,Feb,6,7,77,10151,26,2,0,2,10.5,8.7,10.6
2011-02-08T00:00:00Z,19829,2011,Tue,Feb,6,1,80,10222,90,0,0,85,5.5,0.3,10.4
2011-02-09T00:00:00Z,18197,2011,Wed,Feb,6,8,84,10177,36,2,0,9,5.5,0.6,11.2
2011-02-10T00:00:00Z,11496,2011,Thu,Feb,6,8,93,10127,23,90,0,0,9.4,7.6,12.8
2011-02-11T00:00:00Z,16070,2011,Fri,Feb,6,7,92,10109,26,26,0,1,10.2,7.6,11.4
2011-02-12T00:00:00Z,12855,2011,Sat,Feb,6,5,84,10111,56,0,0,28,9.8,8.2,8.8
2011-02-13T00:00:00Z,7034,2011,Sun,Feb,6,8,88,10021,24,48,0,0,6.7,4.6,10.2
2011-02-14T00:00:00Z,17836,2011,Mon,Feb,7,4,82,10012,74,4,0,49,7.1,3.9,7.5
2011-02-15T00:00:00Z,15667,2011,Tue,Feb,7,7,90,9918,25,16,0,0,5.8,4,11
2011-02-16T00:00:00Z,18989,2011,Wed,Feb,7,4,85,9945,63,0,0,32,6.4,1.8,10.2
2011-02-17T00:00:00Z,18938,2011,Thu,Feb,7,6,87,10046,57,0,0,24,7.2,4.1,9.1
2011-02-18T00:00:00Z,17460,2011,Fri,Feb,7,7,86,10126,38,80,0,6,6.7,4.2,6.5
2011-02-19T00:00:00Z,6250,2011,Sat,Feb,7,8,94,10101,27,24,0,0,4.6,2.6,5.7
2011-02-20T00:00:00Z,7882,2011,Sun,Feb,7,8,89,10151,27,0,0,0,5.3,4.8,7.5
2011-02-21T00:00:00Z,13720,2011,Mon,Feb,8,8,87,10133,28,8,0,0,5.3,3.1,7.9
2011-02-22T00:00:00Z,15948,2011,Tue,Feb,8,8,92,10164,28,22,0,0,6.3,4.6,11.3
2011-02-23T00:00:00Z,12936,2011,Wed,Feb,8,8,92,10167,29,14,0,0,8.1,4.9,14.4
2011-02-24T00:00:00Z,19230,2011,Thu,Feb,8,4,83,10220,83,0,0,45,11.1,7.8,14.1
2011-02-25T00:00:00Z,18634,2011,Fri,Feb,8,7,85,10237,44,18,0,7,10.4,6.7,10.2
2011-02-26T00:00:00Z,7749,2011,Sat,Feb,8,6,85,10141,30,36,0,0,9.3,8.3,9.9
2011-02-27T00:00:00Z,8349,2011,Sun,Feb,8,3,82,10208,76,32,0,34,6.3,2.7,4.8
2011-02-28T00:00:00Z,13843,2011,Mon,Feb,9,7,84,10298,31,4,0,0,4,3.2,4.9
2011-03-01T00:00:00Z,15774,2011,Tue,Mar,9,8,79,10377,35,0,0,0,4.2,3.5,7.3
2011-03-02T00:00:00Z,16929,2011,Wed,Mar,9,5,78,10364,92,0,0,39,4.9,2.5,4.8
2011-03-03T00:00:00Z,16576,2011,Thu,Mar,9,7,82,10357,45,0,0,3,2.3,-0.3,7.9
2011-03-04T00:00:00Z,16971,2011,Fri,Mar,9,4,72,10332,117,0,0,62,4.4,0.8,8.1
2011-03-05T00:00:00Z,9847,2011,Sat,Mar,9,8,81,10308,50,2,0,5,4.5,0.8,8
2011-03-06T00:00:00Z,7142,2011,Sun,Mar,9,7,67,10317,97,0,0,39,5.1,2.2,10.1
2011-03-07T00:00:00Z,16192,2011,Mon,Mar,10,0,66,10296,158,0,0,102,5.4,0.6,12
2011-03-08T00:00:00Z,17240,2011,Tue,Mar,10,1,NA,10208,152,0,0,93,4.8,-2.4,11.3
2011-03-09T00:00:00Z,18494,2011,Wed,Mar,10,5,72,10161,100,0,0,38,6.8,2.3,13.6
2011-03-10T00:00:00Z,18794,2011,Thu,Mar,10,5,72,10124,78,0,0,20,9.4,5.2,12.4
2011-03-11T00:00:00Z,19074,2011,Fri,Mar,10,5,74,10145,100,0,0,36,8.3,4.2,13.4
2011-03-12T00:00:00Z,15488,2011,Sat,Mar,10,7,74,10027,94,2,0,30,10,6.6,10.6
2011-03-13T00:00:00Z,10526,2011,Sun,Mar,10,6,85,10013,64,24,0,9,9.5,8.4,12.6
2011-03-14T00:00:00Z,19451,2011,Mon,Mar,11,3,79,10149,150,0,0,79,6.2,-0.2,13.9
2011-03-15T00:00:00Z,19568,2011,Tue,Mar,11,6,87,10144,123,0,0,51,10.2,6.4,10.1
2011-03-16T00:00:00Z,19643,2011,Wed,Mar,11,8,89,10131,44,0,0,0,8.8,7.5,10.4
2011-03-17T00:00:00Z,20036,2011,Thu,Mar,11,6,83,10154,71,4,0,11,6.9,3.3,6.6
2011-03-18T00:00:00Z,14612,2011,Fri,Mar,11,6,83,10231,45,48,0,0,5.4,4.1,12.5
2011-03-19T00:00:00Z,17801,2011,Sat,Mar,11,0,65,10337,190,0,0,111,5.5,-1.5,13.3
2011-03-20T00:00:00Z,14694,2011,Sun,Mar,11,6,75,10330,102,2,0,29,7.7,2.1,15.5
2011-03-21T00:00:00Z,20710,2011,Mon,Mar,12,5,77,10343,106,0,0,31,9.2,2.9,16.7
2011-03-22T00:00:00Z,21792,2011,Tue,Mar,12,5,69,10378,74,0,0,10,11.4,6.1,17.3
2011-03-23T00:00:00Z,23837,2011,Wed,Mar,12,0,74,10399,197,0,0,110,10.8,4.3,16.7
2011-03-24T00:00:00Z,23518,2011,Thu,Mar,12,1,73,10341,179,0,0,90,11,5.2,18.8
