"pac_name_affiliate","country_of_origin_parent_company","total","dems","repubs","year"
"Budd Co","Germany/ThyssenKrupp AG","$14,000","$1,000","$13,000",2000
"Burns International Services (Securitas AB)","Sweden/Securitas AB","$500","$0","$500",2000
"Burson-Marsteller (WPP Group)","UK/WPP Group","$83,500","$46,500","$37,000",2000
"Business Men's Assurance Co","Italy/Assicurazioni Generali","$4,000","$2,000","$2,000",2000
"Cable & Wireless USA","UK/Cable & Wireless PLC","$67,000","$27,000","$40,000",2000
"Case New Holland","Italy/Fiat SPA","$59,000","$8,500","$50,500",2000
"Celanese Americas Corp","Germany/Celanese AG","$43,850","$16,500","$26,850",2000
"Central Soya Co","Italy/Montedison","$10,500","$1,000","$9,500",2000
"CGU Corp","UK/CGU PLC","$500","$500","$0",2000
"Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$19,500","$4,000","$15,500",2000
"CIBC Oppenheimer","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0",2000
"Cominco American","Canada/Cominco Ltd","$5,000","$0","$5,000",2000
"Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch Shell","$27,500","$3,500","$23,500",2000
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$18,500","$500","$18,000",2000
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$225,857","$99,857","$126,000",2000
"CSR America","Australia/CSR Ltd","$102,750","$9,000","$93,750",2000
"DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$450,100","$166,650","$283,450",2000
"Deutsche Bank North America","Germany/Deutsche Bank AG","$144,000","$67,000","$77,000",2000
"Equitable Life Assurance Society (AXA)","France/AXA","$133,000","$62,000","$71,000",2000
"Equitable of Iowa Companies (ING Group)","Netherlands/ING Group","$8,200","$3,700","$4,500",2000
"Essroc Corp","Italy/Italcementi Group","$2,500","$0","$2,500",2000
"Experian (GUS plc)","UK/GUS plc","$5,250","$750","$4,500",2000
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$52,594","$4,000","$48,594",2000
"Fireman's Fund Insurance (Allianz)","Germany/Allianz AG Holding","$63,900","$17,050","$46,850",2000
"Food Lion","Belgium/Delhaize Group","$25,000","$13,750","$11,250",2000
"Fortis Inc","Belgium/Fortis AG","$8,500","$2,500","$6,000",2000
"GEC-Marconi Hazeltine (BAE Systems)","UK/BAE Systems","$0","$0","$0",2000
"Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$123,250","$62,750","$60,500",2000
"Gilman Paper","Mexico/Grupo Industrial Durango","$12,412","$0","$12,412",2000
"GKN Corp","UK/GKN PLC","$4,775","$0","$4,775",2000
"GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","$604,759","$109,998","$494,761",2000
"GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","$135,500","$35,750","$99,750",2000
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$12,065","$7,315","$4,750",2000
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$46,000","$5,000","$41,000",2000
"Greyhound Lines","Canada/Laidlaw","$36,500","$20,000","$16,500",2000
"Guinness/UDV North America (Diageo PLC)","UK/Diageo PLC","$97,500","$48,500","$49,000",2000
"Heublein UDV (Diageo plc)","UK/Diageo PLC","$1,500","$500","$1,000",2000
"Hill & Knowlton (WPP Group)","UK/WPP Group","$42,500","$21,000","$21,500",2000
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$143,249","$48,000","$95,249",2000
"Holnam Inc","Switzerland/Holderbank Financiere Glaris","$52,250","$12,000","$40,250",2000
"HSBC USA","UK/HSBC Holdings","$7,160","$3,500","$3,660",2000
"ING US (ING Group)","Netherlands/ING Group","$86,500","$25,000","$61,500",2000
"Instinet Corp","UK/Reuters Group","$47,800","$17,250","$30,550",2000
"JA Jones Construction (Philipp Holzmann AG)","Germany/Philipp Holzmann AG","$1,250","$1,000","$250",2000
"Jackson National Life Insurance","UK/Prudential PLC","$77,100","$19,500","$57,600",2000
"Joseph E Seagram & Sons (Vivendi Universal)","France/Vivendi Universal","$117,822","$50,000","$67,822",2000
"Kennecott Energy","UK/Rio Tinto PLC","$71,045","$12,000","$59,045",2000
"LaFarge Corp","France/Lafarge SA","$21,550","$10,100","$11,450",2000
"LaSalle National Corp (ABN AMRO)","Netherlands/ABN Amro Holding","$23,075","$12,375","$10,700",2000
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$13,500","$2,000","$11,500",2000
"Lehigh Portland Cement","Germany/HeidelbergCement AG","$11,500","$3,000","$8,500",2000
"Lone Star Industries","Germany/Dyckerfhoff","$7,000","$1,000","$6,000",2000
"Loral Space & Communications","UK/Loral Space & Communications","$107,000","$86,000","$21,000",2000
"Louisville Gas & Electric","UK/PowerGen","$5,000","$0","$5,000",2000
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$37,000","$7,500","$29,500",2000
"Mallinckrodt Pharmaceuticals (Tyco International)","Ireland/Tyco International","$149,400","$55,500","$93,900",2000
"Massachusetts Financial Services","Canada/Sun Life Financial Services","$21,000","$11,500","$9,500",2000
"Master Builders Inc","Germany/E.ON AG","$2,000","$0","$2,000",2000
"Michigan National Bank","Australia/National Australia Bank","$16,500","$1,000","$15,500",2000
"National Grid USA (National Grid plc)","UK/National Grid plc","$52,000","$33,000","$19,000",2000
"National Steel Corp","Japan/NKK Corp","$0","$0","$0",2000
"NCS Pearson (Pearson PLC)","UK/Pearson PLC","$600","$300","$300",2000
"Nestle USA (Nestle SA)","Switzerland/Nestle","$52,000","$13,000","$37,500",2000
"News America Publishing","Australia/News Corp","$82,500","$31,000","$51,500",2000
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$157,969","$33,733","$124,236",2000
"Oldcastle Materials","Ireland/CRH PLC","$81,841","$28,000","$53,841",2000
"ONDEO Nalco (SUEZ SA)","France/Suez Lyonnaise des Eaux","$35,750","$4,750","$31,000",2000
"Oppenheimer Capital (Allianz)","Germany/Allianz AG Holding","$0","$0","$0",2000
"Organon Inc","Netherlands/Akzo Nobel","$2,250","$250","$2,000",2000
"PacifiCorp","UK/Scottish Power","$11,500","$4,250","$7,250",2000
"PaineWebber","Switzerland/UBS AG","$85,950","$29,950","$56,000",2000
"Peter Pan Seafoods","Japan/Nichiro Corp","$1,700","$0","$1,700",2000
"Philips Electronics North America","Netherlands/Philips Electronics","$55,700","$6,500","$49,200",2000
"Pilkington North America","UK/Pilkington Group","$13,500","$1,000","$12,500",2000
"Pillsbury Co (Diageo PLC)","UK/Diageo PLC","$33,000","$8,500","$24,500",2000
"Pinkerton Tobacco","Sweden/Swedish Match AB","$49,750","$8,000","$40,750",2000
"Reed Elsevier Inc","UK/Reed Elsevier Group","$10,250","$4,250","$6,000",2000
"Reliastar Financial (ING Group)","Netherlands/ING Group","$54,096","$21,715","$32,381",2000
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce International","$54,629","$15,218","$39,411",2000
"Roquette America","France/Roquette Freres","$3,750","$3,000","$750",2000
"Sagem Morpho Inc","France/Sagem SA","$2,000","$2,000","$0",2000
"Sea-Land Service (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$74,100","$24,500","$49,350",2000
"Security Life of Denver (ING Group)","Netherlands/ING Group","$13,600","$4,100","$9,500",2000
"Serono Inc","Switzerland/Serono SA","$7,000","$5,000","$2,000",2000
"Shaklee Corp (Yamanouchi Consumer)","Japan/Yamanouchi Pharmaceutical","$0","$0","$0",2000
"Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch/Shell Group of Companies","$118,600","$29,500","$89,100",2000
"Siemens Corp (Siemens AG)","Germany/Siemans AG","$10,000","$4,000","$6,000",2000
"Siemens ElectroCom (Siemens AG)","Germany/Siemens AG","$4,500","$1,000","$3,500",2000
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$78,750","$50,000","$28,750",2000
"Standard Federal Bank (ABN AMRO)","Netherlands/ABN Amro Holding","$2,750","$0","$2,750",2000
"Syngenta Corp","Switzerland/Syngenta AG","$0","$0","$0",2000
"Syntex (USA) Inc (Roche Holdings)","Switzerland/Roche Holdings","$8,750","$6,250","$2,500",2000
"Tate & Lyle North American Sugars (Tate & Lyle)","UK/Tate & Lyle","$2,100","$2,100","$0",2000
"Timex Corp","Netherlands/Timex Group","$0","$0","$0",2000
"Tractebel","Belgium/Tractabel","$2,000","$0","$2,000",2000
"TransAmerica (Aegon NV)","Netherlands/Aegon NV","$31,000","$8,000","$23,000",2000
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$9,750","$7,750","$2,000",2000
"United Water Resources (SUEZ SA)","France/SUEZ SA","$9,035","$7,450","$1,585",2000
"Universal Studios (Vivendi Universal)","France/Vivendi Universal","$148,750","$65,500","$83,250",2000
"US Surgical Corp (Tyco International)","Ireland/Tyco International","$7,100","$0","$7,100",2000
"USFilter Corp (Vivendi Universal)","France/Vivendi Universal","$17,250","$15,000","$2,250",2000
"Vodafone Group","UK/Vodafone Group","$49,850","$14,600","$35,250",2000
"Westfield Corp","Australia/Westfield Group of Australia","$29,850","$19,350","$10,500",2000
"Westinghouse Electric (BNFL PLC)","UK/BNFL PLC","$27,000","$8,000","$19,000",2000
"Westinghouse Electric (BNFL PLC)","UK/British Nuclear Fuels PLC","$250","$250","$0",2000
"Wexler Group (WPP Group)","UK/WPP Group","$121,093","$53,000","$68,093",2000
"Zenith Electronics","South Korea/LG Electronics","$0","$0","$0",2000
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$80,787","$25,250","$55,537",2000
"Accenture (Accenture)","Ireland/Accenture plc","$3,000","$0","$3,000",2001
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0",2001
"Air Liquide America","France/L'Air Liquide SA","$17,300","$14,800","$2,500",2001
"Airbus Group","Netherlands/Airbus Group","$193,500","$82,500","$111,000",2001
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$186,250","$104,000","$82,250",2001
"Alkermes Inc","Ireland/Alkermes Plc","$84,500","$34,500","$50,000",2001
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$31,500","$20,500","$11,000",2001
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2,525","$0","$2,525",2001
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$457,500","$218,000","$239,500",2001
"AON Corp (AON plc)","UK/AON PLC","$98,500","$52,000","$46,500",2001
"APL Maritime (CMA CGM)","France/CMA CGM SA","$19,000","$8,000","$11,000",2001
"Aptiv PLC","Ireland/Aptiv PLC","$10,350","$5,350","$5,000",2001
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$1,000","$0","$1,000",2001
"Arch Capital Group (US)","UK/Arch Capital Group","$8,500","$5,500","$3,000",2001
"Arkema Inc","France/Arkema","$51,500","$27,000","$24,500",2001
"Ashton Woods Homes","Canada/Great Gulf Group","$2,500","$0","$2,500",2001
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$112,100","$55,500","$56,600",2001
"Astellas US","Japan/Astellas Pharma","$145,500","$63,500","$82,000",2001
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$310,750","$128,500","$182,250",2001
"Atkins North America","UK/SNC-Lavalin","$18,000","$5,000","$13,000",2001
"Austal USA","Australia/Austal Ltd","$50,200","$5,000","$45,200",2001
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$155,000","$103,000","$52,000",2001
"Bacardi USA","UK/Bacardi Ltd","$46,200","$19,500","$25,700",2001
"BAE Systems (BAE Systems)","UK/BAE Systems","$739,500","$320,000","$419,500",2001
"Barclays Group US","UK/Barclays plc","$123,000","$49,500","$73,500",2001
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$14,500","$11,000","$3,500",2001
"BASF Corp","Germany/BASF SE","$412,000","$222,000","$190,000",2001
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$209,500","$117,500","$92,000",2001
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$46,000","$26,000","$20,000",2001
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0",2001
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$193,000","$101,000","$92,000",2001
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$182,900","$86,900","$96,000",2001
"Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$36,500","$16,500","$20,000",2001
"BP North America","UK/BP PLC","-$2,000","$0","-$2,000",2001
"Bridgestone Americas","Japan/Bridgestone Corp","$29,500","$15,000","$14,500",2001
"Bumble Bee Foods (FCF Co)","Taiwan/FCF Co","$6,000","$6,000","$0",2001
"CAE USA","Canada/CAE Inc","$11,000","$6,000","$5,000",2001
"CalPortland Co","Japan/Taiheiyo Cement Co","$214,000","$13,000","$201,000",2001
"Carmeuse Lime","Netherlands/Carmeuse SA","$1,000","$0","$1,000",2001
"Case New Holland","Netherlands/CNH Industrial","$101,000","$5,000","$96,000",2001
"CEMEX Inc","Mexico/CEMEX SAB de CV","$42,500","$16,500","$26,000",2001
"CGI Technologies & Solutions","Canada/CGI Group","$48,000","$40,000","$8,000",2001
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$98,000","$51,500","$46,500",2001
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$2,000","$2,000","$0",2001
"Cirrus Aircraft Corp","China/Aviation Industry Corp of China","$0","$0","$0",2001
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$59,000","$31,000","$28,000",2001
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$14,000","$9,500","$4,500",2001
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$55,000","$25,000","$30,000",2001
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$549,600","$208,500","$341,100",2001
"Cronos USA","Canada/Cronos Group","$33,000","$21,000","$12,000",2001
"CSL Behring","Australia/CSL Ltd","$55,100","$32,700","$22,400",2001
"Delhaize America","Belgium/Ahold Delhaize","$43,500","$19,000","$24,500",2001
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0",2001
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$17,575","$12,575","$5,000",2001
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$52,353","$24,500","$27,853",2001
"EDF Renewables (EDF Group)","France/EDF Group","$38,000","$32,500","$5,500",2001
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$22,000","$20,500","$1,500",2001
"Eisai Inc","Japan/Eisai Co Ltd","$23,100","$11,300","$11,800",2001
"Elbit Systems of America","Israel/Elbit Systems Ltd","$63,000","$16,500","$46,500",2001
"Electrolux Home Products","Sweden/AB Electrolux","$4,500","$1,500","$3,000",2001
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$88,100","$41,500","$46,600",2001
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$61,000","$18,500","$42,500",2001
"EMD Serono Inc","Germany/Merck KGaA","$149,500","$80,000","$69,500",2001
"Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","-$1,000","-$1,000","$0",2001
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$45,500","$18,500","$27,000",2001
"Enbridge Inc","Canada/Enbridge Inc","$84,500","$23,500","$61,000",2001
"Endo Pharmaceuticals","Ireland/Endo International","$0","$0","$0",2001
"ENGIE North America","France/ENGIE","$21,500","$17,500","$4,000",2001
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$117,500","$59,500","$58,000",2001
"Essent US Holdings","UK/Essent Group","$10,500","$2,500","$8,000",2001
"Experian","UK/Experian","$554,500","$256,500","$298,000",2001
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$262,000","$139,000","$123,000",2001
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$19,500","$11,000","$8,500",2001
"Finsbury Glover Hering (WPP Group)","UK/WPP Group","$124,250","$71,500","$52,750",2001
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$62,000","$20,500","$41,500",2001
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$2,150","$1,850","$300",2001
"Framatome (EDF Group)","France/EDF Group","$32,000","$15,000","$17,000",2001
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$405,500","$180,000","$225,500",2001
"G4S Secure Solutions","UK/G4S plc","$2,900","$2,900","$0",2001
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$117,000","$39,500","$77,500",2001
"GE Appliances","China/Haier Group","$23,000","$5,000","$18,000",2001
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$295,000","$154,500","$140,500",2001
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$500","$0","$500",2001
"GenesisCare USA","Australia/GenesisCare","$17,000","$9,500","$7,500",2001
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$14,000","$6,000","$8,000",2001
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$0","$0","$0",2001
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$22,000","$7,000","$15,000",2001
"Greyhound Lines","UK/FirstGroup PLC","$10,500","$6,000","$4,500",2001
"GSK plc","UK/GlaxoSmithKline","$205,000","$54,000","$151,000",2001
"Haleon plc","UK/Haleon plc","$2,500","$0","$2,500",2001
"Hannover Life Reassurance Co","Germany/Hannover Re","$17,500","$10,000","$7,500",2001
"Hatch LTK (Hatch Ltd)","Canada/Hatch Ltd","$5,800","$5,800","$0",2001
"Headwaters Inc","Australia/Boral Ltd","$10,500","$1,000","$9,500",2001
"Heineken USA","Netherlands/L'Arche Green NV","$26,000","$14,000","$12,000",2001
"Herbalife Nutrition","UK/Herbalife Ltd","$85,500","$35,500","$50,000",2001
"Holcim US (Holcim Group)","Switzerland/Holcim Group","$37,000","$22,000","$15,000",2001
"Horizon Therapeutics","Ireland/Horizon Pharma PLC","$149,000","$89,000","$60,000",2001
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$34,500","$11,000","$23,500",2001
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$61,000","$36,500","$24,500",2001
"IBI Group Engineering Services","Canada/IBI Group","$150","$0","$150",2001
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$29,900","$6,000","$23,900",2001
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$42,900","$32,900","$10,000",2001
"Infineon Technologies","Germany/Infineon Technologies AG","$20,000","$12,500","$7,500",2001
"Intelsat US","Luxembourg/Intelsat Holdings","$49,000","$25,500","$23,500",2001
"Intergraph Corp","Sweden/Hexagon AB","$2,900","$0","$2,900",2001
"Ipsen Biopharmaceuticals","France/Ipsen SA","$40,000","$22,500","$17,500",2001
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$14,000","$5,500","$8,500",2001
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$169,198","$50,998","$118,200",2001
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$87,000","$50,000","$37,000",2001
"JBS USA","Brazil/JBS SA","$18,500","$7,000","$11,500",2001
"John Hancock Life Insurance","Canada/Manulife Financial","$94,500","$58,500","$36,000",2001
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$211,500","$117,500","$94,000",2001
"Komatsu Mining","Japan/Komatsu Ltd","$20,599","$9,500","$11,099",2001
"Lanxess Corp (Lanxess AG)","Germany/Lanxess AG","$0","$0","$0",2001
"Lehigh Hanson","Germany/HeidelbergCement AG","$102,000","$22,500","$79,500",2001
"Leonardo DRS","Italy/Leonardo SpA","$204,000","$76,500","$127,500",2001
"Liberty Utilities (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$0","$0","$0",2001
"Lincare Holdings (Linde plc)","UK/Linde plc","$23,500","$6,000","$17,500",2001
"Linde plc (Linde plc)","UK/Linde Plc","$11,000","$11,000","$0",2001
"Livanova USA","UK/Livanova Plc","$6,000","$4,000","$2,000",2001
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$2,000","$0","$2,000",2001
"LSEG US","UK/London Stock Exchange Group","$2,000","$2,000","$0",2001
"Lundbeck Inc","Denmark/H Lundbeck A/S","$127,400","$72,400","$55,000",2001
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$95,000","$41,500","$53,500",2001
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$60,500","$29,500","$31,000",2001
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$500","$4,500","-$4,000",2001
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$173,500","$93,000","$78,000",2001
"MBDA Inc","UK/MBDA","$1,000","$0","$1,000",2001
"Medtronic Inc","Ireland/Medtronic Plc","$225,000","$119,000","$106,000",2001
"Mercedes-Benz USA (Daimler AG)","Germany/Daimler AG","$3,500","$0","$3,500",2001
"Messer North America","Germany/Messer Group","$28,500","$12,000","$16,500",2001
"Mitsubishi Power","Japan/Mitsubishi Power","$1,000","$0","$1,000",2001
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$77,500","$23,000","$54,500",2001
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0",2001
"Munich American Reassurance","Germany/Munich Re Group","$12,500","$5,000","$7,500",2001
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$9,000","$2,000","$7,000",2001
"National Grid USA (National Grid plc)","UK/National Grid plc","$58,500","$49,500","$9,000",2001
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$0","$0","$0",2001
"Nomura Holding America","Japan/Nomura Holdings","$49,500","$19,500","$30,000",2001
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$0","$0","$0",2001
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$281,500","$159,500","$122,000",2001
"Novo Nordisk","Denmark/Novo Nordisk A/S","$288,250","$147,250","$141,000",2001
"Novocure Inc","UK/Novocure","$94,500","$46,000","$48,500",2001
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$46,500","$15,000","$31,500",2001
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$125,500","$71,500","$54,000",2001
"Permobil Inc (Investor AB)","Sweden/Investor AB","$1,000","$1,000","$0",2001
"Pernod Ricard USA","France/Pernod Ricard SA","$27,000","$13,500","$13,500",2001
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$94,500","$50,000","$44,500",2001
"Philips Electronics North America (Philips)","Netherlands/Philips","$119,750","$54,250","$65,500",2001
"Prime Policy Group (WPP Group)","UK/WPP Group","$42,750","$24,500","$18,250",2001
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$177,000","$46,500","$130,500",2001
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$46,500","$18,500","$28,000",2001
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$11,500","$5,500","$6,000",2001
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$91,500","$45,000","$46,500",2001
"Recurrent Energy","Canada/Canadian Solar","$13,900","$9,900","$4,000",2001
"RELX Inc","UK/RELX Group","$94,500","$58,500","$36,000",2001
"Resolute FP US","Canada/Resolute Forest Products","$75,500","$5,500","$70,000",2001
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$242,100","$63,600","$178,500",2001
"Rio Tinto America","UK/Rio Tinto Group","$33,500","$14,500","$19,000",2001
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$103,000","$50,000","$53,000",2001
